"variable_id","domain","concepts","question_text","value_labels"
"q154","National Identity","patriotism; citizenship pride; national sentiment","q154. How proud are you to be a citizen of (COUNTRY)?","-1=Missing; 1=Very proud; 2=Somewhat proud; 3=Not very proud; 4=Not proud at all; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q155","Migration and Mobility","international relocation; willingness to emigrate; cultural integration","q155. Given the chance, how willing would you be to go and live in another country?","-1=Missing; 1=Very willing; 2=Willing; 3=Not willing; 4=Not willing at all; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q156","Geopolitical Influence","regional power; international influence; regional leadership","q156. Which country has the most influence in Asia?","-1=Missing; 1=China; 2=Japan; 3=India; 4=United States; 5=Other; 6=Taiwan; 7=Singapore; 8=European Union; 9=South Korea; 10=China and Japan; 11=China and India; 12=Australia; 13=Association of Southeast Asian Nations, ASEAN; 14=North Korea; 15=China and United States; 16=Commonwealth of Independent States, CIS; 17=United States and Japan; 18=Vietnam; 19=Philippines; 20=Canada; 21=United Arab Emirates; 22=Malaysia; 23=Hong Kong; 24=Thailand; 25=Russia; 26=Cambodia; 27=Indonesia; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q157","Geopolitical Influence","regional power; international influence; regional leadership","q157. Does (answer in Q156) do more good or harm to the region? Ask Q157a if the answer in Q156 is not China, otherwise skip to Q158","-1=Missing; 0=Not applicable; 1=Much more good than harm; 2=Somewhat more good than harm; 3=Somewhat more harm than good; 4=Much more harm than good; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q157a","Geopolitical Influence","China's impact; regional impact; positive/negative impact","q157a. Does China do more good or harm to the region?","-1=Missing; 0=Not applicable; 1=Much more good than harm; 2=Somewhat more good than harm; 3=Somewhat more harm than good; 4=Much more harm than good; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q157b","Geopolitical Influence","China's impact; regional impact; positive/negative impact","q157b. Does China do more good or harm to the region? (Whether the most influence country is China or not.)","-1=Missing; 0=Not applicable; 1=Much more good than harm; 2=Somewhat more good than harm; 3=Somewhat more harm than good; 4=Much more harm than good; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q158","Geopolitical Influence","country; influence; Asia; future","q158. In ten years, which country will have the most influence in Asia?","-1=Missing; 1=China; 2=Japan; 3=India; 4=United States; 5=Other; 6=Taiwan; 7=Singapore; 8=European Union; 9=South Korea; 10=China and Japan; 11=China and India; 12=Australia; 13=Association of Southeast Asian Nations, ASEAN; 14=North Korea; 15=China and United States; 16=Commonwealth of Independent States, CIS; 17=United States and Japan; 18=Vietnam; 19=Philippines; 20=Canada; 21=United Arab Emirates; 22=Malaysia; 23=Hong Kong; 24=Thailand; 25=Cambodia; 26=France; 27=Mongolia; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q159","Geopolitical Influence","country; model; future development; own country","q159. Which country should be a model for our own country's future development?","-1=Missing; 1=United States; 2=China; 3=India; 4=Japan; 5=Singapore; 6=Other; 7=We should follow our country’s own model; 8=China and Singapore; 9=Japan and Singapore; 10=Germany; 11=Switzerland; 12=South Korea; 13=United States, Japan and Singapore; 14=United States and Japan; 15=Finland; 16=Canada; 17=Netherlands; 18=Sweden; 19=United States and Singapore; 20=Canada and New Zealand; 21=Northern Europe; 22=New Zealand; 23=Bhutan; 24=Vietnam; 25=United Kingdom; 26=Germany and Finland; 27=European countries; 28=Switzerland and Denmark; 29=Taiwan; 30=Indonesia; 31=Saudi Arabia; 32=United Arab Emirates; 33=Israel; 34=Australia; 35=Norway; 36=France; 37=North Korea; 38=Malaysia; 39=Thailand; 40=Russian; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
"q16","Trust in Institutions","trust; newspapers; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Newspapers","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q160","China's Influence","influence; China; country","q160. How much influence does China have on our country?","-1=Missing; 1=A great deal of influence; 2=Some influence; 3=Not much influence; 4=No influence at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q161","China's Influence","influence; China; country; general","q161. General speaking, the influence China has on our country is?","-1=Missing; 0=Not applicable; 1=Very positive; 2=Positive; 3=Somewhat positive; 4=Somewhat negative; 5=Negative; 6=Very negative; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q17","Trust in Institutions","trust; television; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Television","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q18","Trust in Institutions","trust; election commission; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? The election commission [specify institution by name] <Optional>","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q19","Trust in Institutions","trust; NGOs; institutions","I'm going to name a number of institutions. For each one, please tell me how much trust do you have in them? Non-governmental organizations or NGOs <Optional>","-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=not very much trust not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q2","Economic Perception","economic condition; country; change; current evaluation","q2. How would you describe the change in the economic condition of our country over the last few years","-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q20","Organizational Affiliation","organizations; groups; membership; first organization","q20. Could you identity the three most important organizations or formal groups you belong to. First Organization","-1=Missing; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/ recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher Associations or PTA; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Volunteer police and firefighters; 20=Can association; 21=Women's association; 22=Hometown association; 23=Peer group; 90=Not a member of any organization or group; 98=Can't choose; 99=Decline to answer; 100=Not applicable"
"q21","Second Organization","organization; type of organization","q21. Second Organization","-1=Missing; 0=Not applicable; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/ recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher Associations or PTA; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Volunteer police and firefighters; 20=Can association; 21=Women's association; 22=Hometown association; 23=Peer group; 90=Not a member of any organization or group; 99=Decline to answer"
"q22","Third Organization","organization; type of organization","q22. Third Organization","-1=Missing; 0=Not applicable; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/ recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher Associations or PTA; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Volunteer police and firefighters; 20=Can association; 21=Women's association; 22=Hometown association; 90=Not a member of any organization or group; 98=Can't choose; 99=Decline to answer"
"q23","Trust in People","trust level; general evaluation; risk assessment","q23. General speaking, would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?","-1=Missing; 1=Most people can be trusted; 2=You must be very careful in dealing with people; 6=""It depends""; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q24","Trust in People","trust level; general evaluation; risk assessment","q24. Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair? (NEW)","-1=Missing; 1=Most people would try to take advantage of you if they got a; 2=Most people would try to be fair; 6=""It depends""; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q25","Trust in People","trust level; familial relationships; trust evaluation","q25. How much trust do you have in each of the following types of people?   Your relatives","-1=Missing; 1=A great deal of Trust; 2=Quite a lot of Trust; 3=Not very much Trust; 4=None at all; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q26","Trust in People","trust level; neighboring relationships; trust evaluation","q26. Your neighbors","-1=Missing; 1=A great deal of Trust; 2=Quite a lot of Trust; 3=Not very much Trust; 4=None at all; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q27","Trust in People","trust level; other social interactions; trust evaluation","q27. Other people you interact with","-1=Missing; 1=A great deal of Trust; 2=Quite a lot of Trust; 3=Not very much Trust; 4=None at all; 7=Do not understand; 8=Can't choose; 9=Decline to answer"
"q28","Social Interaction","social contact; frequency; one-on-one interactions","q28. On average, about how many people do you have contact with in a typical week day?  We are interested in contact on a one-on-one basis, including everyone with whom you chat, talk, or discuss matters.  This can be face to face, by telephone, by mail,","-1=Missing; 0=Not applicable; 1=0-4 people; 2=5-9 people; 3=10-19 people; 4=20-49 people; 5=50 or more people; 8=Can't choose; 9=Decline to answer"
"q29","Social Support","social support; help seeking; external support","q29. If you have a difficult problem to manage, are there people outside your household you can ask for help? (NEW)","-1=Missing; 1=No, nobody; 2=Yes, a few; 3=Yes, some; 4=Yes, a lot; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q3","Economic Perception","economic condition; national level; future prediction","q3. What do you think will be the state of our country's economic condition a few years from now? Will it be …","-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q30","Social Support","social support; help seeking; household","q30. When people outside your household have problems, do they come to you for help? (NEW)","-1=Missing; 1=No, nobody; 2=Yes, a few; 3=Yes, some; 4=Yes, a lot; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q31","Political Attitudes","political differences; conversation; political opinions","q31. If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them? (NEW)","-1=Missing; 1=Very hard; 2=A bit hard; 3=Not too hard; 4=Not hard at all; 7=Do not understand the question; 8=Can't choose; 9=Don't respond"
"q32","Election Participation","voting; election participation; reasons for non-voting","q32. In talking to people about elections, we often find that a lot of people were not able to vote because they were away from home, they were sick or they just didn't have time. How about you? Did you vote in the election [the most recent national elect","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 3=not eligible to vote; 8=Can't choose; 9=Decline to answer"
"q33","Election Participation","voting; candidate voting; party voting","q33. Which parties (or candidates for president if it was presidential race) did you vote for? [country-specific response grid]","-1=Missing; 90=Not applicable; 92=No vote; 97=Dont' know; 98=Can't choose; 99=Decline to answer; 101=DPJ; 102=LDP; 103=CGP; 104=Minna; 105=JCP; 106=SDP; 107=others; 108=independent; 201=DP(HK); 202=DAB(HK); 203=Liberal PArty(HK); 204=Civic Party(HK); 205=FTU(HK); 206=New People's Party(HK); 207=ADPL(HK); 208=LSD(HK); 209=People Power(HK); 210=Labour Party(HK); 211=NeoDemocrats(HK); 212=NWSC(HK); 214=Others(HK); 301=Chung Dong-young; 302=Lee Myung-bak; 303=Kwon Young-ghil; 304=Rhee In-je; 305=Moon Kook-hyun; 306=Lee Hoi- chang; 307=Others; 98=Can't choose; 99=Decline to answer; 501=N. Enhbayar; 505=Ts. Elbegdorj; 601=Lacson, Panfilo Morena ''Ping''; 602=Macapagal-Arroyo, Gloria Macaraeg ''GMA''; 603=Poe, Fernando, Jr/Ronald Allan Kelley ''FPJ''; 605=Villanueva, Eduardo Cruz ''Bro. Eddie''; 307=Others; 607=None; 701=Hsieh Chang-ting and Su Tseng-chang; 702=Ma Ying-jeou and Vincent Siew; 703=Cast invalid vote; 801=Phak Prachatipat; 802=Phak Puea Tha; 803=Phak Bhum Jai Thai; 804=Phak Chart Thai Pattana; 805=Phak Pua Paendin; 806=Phak Ruam Jai Thai Chat Pattana; 807=Phak Chart Thai; 808=Phak Thai rak Thai; 809=Phak Pracharat; 810=Phak Palang Prachachon; 811=Phak Puea Prachachon; 901=Partai Hanura; 902=Partai Karya Peduli Bangsa (PKPB); 903=Partai Pengusaha dan Pekerja Indonesia; 904=Partai Peduli Rakyat Nasional; 905=Partai Gerindra; 906=Partai Barisan Nasional; 907=Partai Keadilan dan Persatuan Indonesia; 908=Partai Keadilan Sejahtera (PKS); 909=Partai Amanat Nasional (PAN); 910=Partai Perjuangan Indonesia Baru (PIB); 911=Partai Kedaulatan; 912=Partai Persatuan Daerah (PPD); 913=Partai Kebangkitan Bangsa (PKB); 914=Partai Pemuda Indonesia; 915=Partai Nasional Indonesia Marhaenisme; 916=Partai Demokrasi Pembaruan (PDP); 917=Partai Karya Perjuangan; 918=Partai Matahari Bangsa; 919=Partai Penegak Demokrasi Indonesia; 920=Partai Demokrasi Kebangsaan; 921=Partai Republik Nusantara; 922=Partai Pelopor; 923=Partai Golongan Karya; 924=Partai Persatuan Pembangunan; 925=Partai Damai Sejahtera (PDS); 926=Partai Nasional Benteng Kerakyatan Indonesia (PNBKI); 927=Partai Bulan Bintang (PBB); 928=Partai Demokrasi Indonesia Perjuangan (PDIP); 929=Partai Bintang Reformasi (PBR); 930=Partai Patriot; 931=Partai Demokrat; 932=Partai Kasih Demokrasi Indonesia (PKDI); 933=Partai Indonesia Sejahtera; 934=Partai Kebangkitan Nasional Ulama (PKNU); 941=Partai Merdeka; 942=Partai Persatuan Nahdlatul Ummah Indonesia; 943=Partai Sarikat Indonesia; 944=Partai Buruh; 1201=Norodom Ranariddh Party; 1202=Cambodian People's Party; 1203=Funcinpec; 1204=Sam Rainsy Party; 1205=League for Democracy Party; 1206=Human Rights Party; 1207=Khmer Democratic Party; 1208=Khmer Anti-Poverty Party; 1209=Khmer Republican Party; 1210=Society of Justice Party; 1211=Hang Dara Democratic Movement Party; 1301=Barisan Nasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 1307=PBB; 1308=SUPP; 1309=Other BN party; 1310=People Alliance; 1311=PAS; 1312=DAP; 1313=PKR; 1314=PSM; 1315=SAPP; 1316=SNAP; 1317=Other (Termasuk undi rosak)"
"q33a","Election Participation","winning camp; losing camp; election outcome","q33a. Based on the answer to Q33, please construct a new variable indicating if the respondent voted for the winning camp or losing camp.","-1=Missing; 0=Not applicable; 1=Voted for the winning camp; 2=Voted for the losing camp; 8=Can't choose"
"q34","Political Participation","campaign attendance; rally attendance; political engagement","q34. Thinking about the national election in [year], did you attend a campaign meeting or rally?","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer"
"q35","Political Behavior","persuasion; voter mobilization; political advocacy","q35. try to persuade others to vote for a certain candidate or party?","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer"
"q36","Political Participation","campaign work; volunteer work; political activism","q36. Did you do anything else to help out or work for a party or candidate running in the election?","-1=Missing; 0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer"
"q37","Election Perception","election fairness; fairness evaluation; election integrity","q37. On the whole, how free and fair would you say the last national election was? (NEW)","-1=Missing; 0=Not applicable; 1=Completely free and fair; 2=Free and fair, but with minor problems; 3=Free and fair, with major problems; 4=Not free or fair; 5=Free but unfair; 8=Can't choose; 9=Decline to answer"
"q38","Government Services","service access; government services; service availability","q38. Based on your experience, how easy or difficult is it to obtain the following services?  Or have you never tried to get these services from government?  An identity document (such as a birth certificate or passport)","-1=Missing; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Tried; 8=Can't choose; 9=Decline to answer"
"q39","Service Accessibility","public primary school; child; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? A place in a public primary school for a child","-1=Missing; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Tried; 8=Can't choose; 9=Decline to answer"
"q4","Economic Perception","economic situation; family; evaluation; current situation","q4. As for your own family, how do you rate the economic situation of your family today?  Is it …","-1=Missing; 1=Very good; 2=Good; 3=So so (not good nor bad); 4=Bad; 5=Very bad; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q40","Service Accessibility","medical treatment; nearby clinic; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? Medical treatment at a nearby clinic","-1=Missing; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Tried; 8=Can't choose; 9=Decline to answer"
"q41","Public Safety","police assistance; need for assistance; ease of access; difficulty","Based on your experience, how easy or difficult is it to obtain the following services? Help from the police when you need it","-1=Missing; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Tried; 8=Can't choose; 9=Decline to answer"
"q42","Safety Perception","safety; city/town/village; level of safety; perception","q42. Generally speaking, how safe is living in this city/ town/ village - very safe, safe, unsafe or very unsafe?","-1=Missing; 1=Very safe; 2=Safe; 3=Unsafe; 4=Very unsafe; 8=Can't choose; 9=Decline to answer"
"q43","Political Interest","political interest; level of interest; political engagement","q43. How interested would you say you are in politics?","-1=Missing; 1=Very interested; 2=Somewhat interested; 3=Not very interested; 4=Not at all interested; 8=Can't choose; 9=Decline to answer"
"q44","Political Engagement","news consumption; frequency of following; political news","q44. How often do you follow news about politics and government?","-1=Missing; 1=Everyday; 2=Several times a week; 3=Once or twice a week; 4=Not even once a week; 5=Practically never; 8=Can't choose; 9=Decline to answer"
"q45","Technology Usage","internet usage; frequency of use; digital access","q45. How often do you use the internet?","-1=Missing; 1=Almost daily; 2=At least once a week; 3=At least once a month; 4=Several times a year; 5=Hardly ever; 6=Never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q46","Social Interactions","family/friend gatherings; frequency of discussion; political topics","q46. When you get together with your family members or friends, how often do you discuss political matters?","-1=Missing; 1=Frequently; 2=Occasionally; 3=Never; 8=Can't choose; 9=Decline to answer"
"q47","Political Affiliation","political party identification; party affiliation; closest party","q47. Among the political parties listed here, which party if any do you feel closest to?","-1=Missing; 95=Can not choose; 96=Decline to answer; 97=Do not know; 98=No answer; 99=Do not feel close to any political party; 101=DPJ; 102=LDP; 103=Komeito(CGP); 104=Minna; 105=JCP; 106=other party; 107=others; 201=Democratic Party(HK); 202=DAB(HK); 203=Liberal Party(HK); 204=Civic Party(HK); 205=FTU(HK); 206=ADPL(HK); 206=ADPL(HK); 208=LSD(HK); 209=People Power(HK); 210=NeoDemocrats(HK); 211=NewDemocrats(HK); 212=NWSC(HK); 214=Others(HK); 301=The Uri Party(governing party); 302=The Grand National Party; 303=The Democratic Party; 304=The Democratic Labor Party; 305=The People First Party; 306=Other Parties; 307=Liberty Forward Party; 308=Future hope solidarity; 309=Creative Korea Party; 310=New Progressive Party; 311=People's Participation Party; 501=MPRP; 502=DP; 503=CCP; 504=MP; 505=RP; 506=PP; 507=GP; 508=other; 601=LABAN NG DEMOKRATIKONG PILIPINO; 602=LAKAS-NUCD-UMDP; 603=LIBERAL PARTY; 604=NACIONALISTA PARTY; 605=NATIONALIST PEOPLE'S COALITION; 606=PARTIDO NG MASANG PILIPINO; 607=PDP-LABAN; 608=GABRIELA; 609=KMP - KILUSAN NG MASANG PILIPINO (GRUPO NI FPJ); 610=GRUPO NI CORY AQUINO; 611=PARTIDO NI LACSON; 612=PARTIDO NI ROCO; 613=ASIAN PACIFIC ELECTRONICS COOPERATIVES; 614=PARTIDO NI EDDIE; 615=PARTIDO NI VILLANUEVA; 616=PARTIDO NI JOEY HIZON; 617=PARTIDO NI MAYOR BELMONTE; 618=BAYAN MUNA; 619=PARTIDO NI ROILO GOLEZ; 620=FILIPINO ALLIANCE MOVEMENT SUPPORT GROUP; 621=MAYO UNO (LABOR UNION); 622=OPOSISYON; 623=PARTIDO NI ESCUDERO; 624=ANAK PAWIS; 625=SANLAKAS; 626=PARTIDO NI MAYOR OREA; 627=MAYOR'S QUANO; 628=AGAP  hindi ko alam ang ibig sabihin; 629=Bangon pilipinas; 630=Kapatiran by JC Delos Reyes; 631=Magdalo party list; 632=Act  alliance of Concerned Teachers; 633=Partido ng manggagawa; 634=Makamasa; 635=Bagong bayan; 636=Mayor namin; 637=Yung kay Lacson; 701=KMT; 702=DPP; 703=New Party; 704=People First Party; 705=Taiwan Solidarity Union; 706=Other; 801=PRAJADHIPAT; 802=THAI RAK THAI; 803=CHART THAI; 804=MAHACHON; 805=Other Party; 806=Phak Puea Tha; 807=Phak Bhum Jai Thai; 808=Phak Chart Thai Pattana; 809=Phak Pua Paendin; 901=Indonesian National Party Marhaenism; 902=Social Democrat Labour Party; 903=Crescent Star Party; 904=Independent Party; 905=United Development Party; 906=United Democratic Nationhood Party; 907=New Indonesia Union Party; 908=Freedom Bull National Party; 909=Democrat Party; 910=Justice and Unity Party; 911=Indonesian Democratic Vanguard Party; 912=Indonesian United Renaissance People Party; 913=National Mandate Party; 914=Concern for thel Nation Functional Party; 915=National Awakening Party; 916=Prosperous and Justice Party; 917=Reform Star Party; 918=Indonesian Democratic Party-Struggle; 919=Peace and Prosperous Party; 920=Functional Group Party; 921=Patriot Pancasila Party; 922=Indonesian Association Party; 923=United Regional Party; 924=Vanguard Party; 925=Partai Hanura; 926=Partai Karya Peduli Bangsa (PKPB); 927=Partai Pengusaha dan Pekerja Indonesia; 928=Partai Gerindra; 929=Partai Barisan Nasional; 930=Partai Keadilan dan Persatuan Indonesia; 931=Partai Keadilan Sejahtera (PKS); 932=Partai Amanat Nasional (PAN); 933=Partai Kedaulatan; 934=Partai Persatuan Daerah (PPD); 935=Partai Kebangkitan Bangsa (PKB); 936=Partai Demokrasi Pembaruan (PDP); 937=Partai Matahari Bangsa; 938=Partai Penegak Demokrasi Indonesia; 939=Partai Pelopor; 940=Partai Golongan Karya; 941=Partai Persatuan Pembangunan; 942=Partai Damai Sejahtera (PDS); 943=Partai Bulan Bintang (PBB); 944=Partai Demokrasi Indonesia Perjuangan (PDIP); 945=Partai Bintang Reformasi (PBR); 946=Partai Demokrat; 947=Partai Indonesia Sejahtera; 948=Partai Kebangkitan Nasional Ulama (PKNU); 949=Partai Merdeka; 950=Partai Persatuan Nahdlatul Ummah Indonesia; 951=Partai Sarikat Indonesia; 1001=People's Action Party; 1002=The Worker's Party; 1003=Singapore Democratic Party; 1004=National Solidarity Party; 1005=Singapore People's Party; 706=Other; 1101=Vietnamese Communist Party; 1201=Cambodian People's Party; 1202=Sam Rainsy Party; 1203=Humanrights Party; 1204=Norodom Ranaridh Party; 1205=FUNCINPEC Party; 1206=Democratic League Party; 1301=BarisanNasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 1307=PBB; 1308=SUPP; 1309=Other BN party; 1310=Opposition; 1311=PAS; 1312=DAP; 1313=PKR; 706=Other; 1315=SAPP; 1316=SNAP; 1317=Other (Termasuk undi rosak)"
"q48","Economic Perception","economic condition; evaluation; temporal comparison","q48. How close do you feel to (answer in Q47)? Is it very close, somewhat close, or just a little close?","-1=Missing; 0=Not applicable; 1=Very close; 2=Somewhat close; 3=Just a little close; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q49","Trust in Government","trustworthiness; agreement/disagreement","q49. Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? Most people are trustworthy?","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q5","Economic Perception","economic condition; comparison; time frame","q5. How would you compare the current economic condition of your family with what it was a few years ago? Is it …","-1=Missing; 1=Much better now; 2=A little better now; 3=About the same; 4=A little worse now; 5=Much worse now; 7=Do not understand the question; 8=Can't choose; 9=Decline to answe"
"q50","Social Values","personal interests; sacrifice; family","Please tell me how you feel about the following statements. Would you say you strongly agree, somewhat agree, somewhat disagree, or strongly disagree? For the sake of the family, the individual should put his personal interests second","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q51","Social Values","group interest; individual interest; sacrifice","q51. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.","-1=Missing; -1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q52","National Interest","national interest; individual interest; sacrifice","q52. For the sake of national interest, individual interest could be sacrificed.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q53","Social Values","relationship; long-term; immediate interest","q53. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q54","Social Values","interest; future planning; immediate interest","q54. When dealing with others, one should not only focus on immediate interest but also plan for future.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q55","Family Dynamics","parental demands; obedience; children","q55. Even if parents' demands are unreasonable, children still should do what they ask.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q56","Family Dynamics","mother-in-law; daughter-in-law; husband; obedience","q56. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q57","Social Norms and Values","authority; obedience; student behavior","q57. Being a student, one should not question the authority of their teacher.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q58","Social Norms and Values","group harmony; conflict avoidance; disagreement","q58. In a group, we should avoid open quarrel to preserve the harmony of the group","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q59","Social Norms and Values","conflict avoidance; disagreement; personal conflict","q59. Even if there is some disagreement with others, one should avoid the conflict","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q6","Economic Perception","economic situation; family future; economic outlook","q6. What do you think the economic situation of your family will be a few years from now? Will it be …","-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
"q60","Social Norms and Values","opinion sharing; persuasion; coworker disagreement","q60. A person should not insist on his own opinion if his co-workers disagree with him","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
"q61","Philosophical Beliefs","fate; destiny; social determinism","q61. Wealth and poverty, success and failure are all determined by fate.","-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Don't understand the question; 8=Can't choose; 9=Decline to answer"
