variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q157,Globalization and Trade,"country development, international cooperation, evaluation",157 Choose one statement.,binary,2,0.8,True,157 choose one statement.,1,132.0
q157_1,Globalization and Trade,"country development, international cooperation, evaluation",157_1 Our country should do more trade with other countries(q157+q157a),likert_4,4,0.8,False,157_1 our country should do,1,132.0
q157a,Globalization and Trade,"country development, international cooperation, evaluation, strength of agreement",157a Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,157a do you strongly agree,1,132.0
q158,Immigration Policy,"immigration, government policy, evaluation",158 Do you think the government should increase or decrease the inflow of foreign immigrants into the country.,likert_4,4,0.8,False,think the government should increase,1,132.0
q159,Economic Perception,"income distribution, evaluation, fairness",159 How fair do you think income distribution in Mongolia,likert_4,4,0.8,False,159 how fair do you,1,132.0
q16,Election and Governance,"election commission, evaluation",16 The election commission,likert_4,4,0.8,True,16 the election commission,1,132.0
q160a,Economic Inequality,"economic inequality, social welfare, income distribution",160a Narrow the gap between the rich and the poor,likert_4,4,0.8,False,160a narrow the gap between,1,132.0
q160b,Economic Inequality,"affordable housing, income distribution, social welfare",160b Make sure that everyone has affordable housing,likert_4,4,0.8,False,160b make sure that everyone,1,132.0
q160c,Healthcare Accessibility,"healthcare accessibility, basic medical care, social welfare",160c Make sure that everyone has access to basic medical care,likert_4,4,0.8,False,160c make sure that everyone,1,132.0
q160d,Basic Needs Satisfaction,"basic necessities, food security, shelter security",160d Make sure that basic necessities such as food and shelters are provided for everyone,likert_4,4,0.8,False,160d make sure that basic,1,132.0
q161,Financial Security,"income stability, financial worry, temporal comparison",161 How worried are you that your family might lose its major source of income within the next 12 months?,likert_4,4,0.8,False,161 how worried are you,1,132.0
q162,Financial Security,"income loss, financial vulnerability, temporal comparison","162 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?",likert_3,3,0.8,False,following is a hypothetical question:,1,132.0
q163,Perceived Fairness,"income fairness, perceived fairness, evaluation","163 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair?",likert_4,4,0.8,False,163 considering all the effort,1,132.0
q164,Social Mobility,"social mobility, opportunity comparison, generational comparison","164 As compared to my parent's generation, my generation has more or fewer opportunities to improve the standard of living or   social status?",likert_5,5,0.8,False,164 as compared to my,1,132.0
q165,Intergenerational Comparison,"intergenerational comparison, life quality comparison, temporal comparison",165 Will the next generation have had a better or worse life than our generation?,likert_5,5,0.8,False,165 will the next generation,1,132.0
q166,National Pride,"national pride, citizenship evaluation, evaluation",166 How proud are you to be a citizen of (COUNTRY)? Are you...,likert_4,4,0.8,False,166 how proud are you,1,132.0
q167,International Mobility,"willingness, international relocation","167 Given the chance, how willing would you be to go and live in another country?",likert_4,4,0.8,False,"167 given the chance, how",1,132.0
q168,Trust in Government,"leadership style, parliamentary power","168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary",likert_4,4,0.8,False,168 in order to solve,4,16.5
q169,Trust in Government,"leadership style, elections, economic condition","168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary 169 As long as a government can solve our country’s economic problem, it does not matter if the government holds regular elections or not",likert_4,4,0.8,False,parliament if necessary 169 as,1,132.0
q17,Social Perception,"non-government organizations, NGOs",17 Non-government organizations or NGOs,likert_4,4,0.8,True,17 non-government organizations or ngos,1,132.0
q170,Trust in Government,"leadership style, rule breaking","168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary 170This country needs a leader who can break the rules if necessary to get things done",likert_4,4,0.8,False,parliament if necessary 170this country,1,132.0
q171,Trust in Government,"leadership style, democracy, stability","168 In order to solve the country’s urgent problems, a leader can govern the country by decrees and disregard the parliament if necessary 171 As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",likert_4,4,0.8,False,parliament if necessary 171 as,1,132.0
q172a,Emergency Powers and Human Rights,"emergency powers, human rights, public health crisis",172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic,likert_4,4,0.8,False,172a which circumstance would justify,5,11.806438921198891
q172b,Emergency Powers and Human Rights,"emergency powers, human rights, economic crisis",172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic 172b An economic crisis that has caused the loss of many jobs,likert_4,4,0.8,False,like the covid-19 pandemic 172b,1,132.0
q172c,Emergency Powers and Human Rights,"emergency powers, human rights, corruption",172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic 172c Widespread corruption that the president [PM] claims can only be reduced by increasing executive power,likert_4,4,0.8,False,like the covid-19 pandemic 172c,1,132.0
q172d,Emergency Powers and Human Rights,"emergency powers, human rights, security crisis",172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic 172d A security crisis due to social unrest or terrorism,likert_4,4,0.8,False,like the covid-19 pandemic 172d,1,132.0
q172e,Trust in Government,"emergency powers, rights and freedoms, public health crisis, war",172a Which circumstance would justify the governments's use of emergency powers to costrain rights and freedom: A public health crisis like the Covid-19 pandemic 172e The country is at war,likert_4,4,0.8,False,like the covid-19 pandemic 172e,1,132.0
q173,International Relations,"country influence, geographic region, Asia",173 Which country has the most influence in Asia?,likert_5,5,0.8,False,country has the most influence,1,132.0
q173other,Unknown,,"173. Other specify responses 

Variable: q174 
  Question: 174 Does USA do more good or harm to the Asia?",likert_4,4,0.8,False,173. other specify responses variable:,1,132.0
q175,International Relations,"US influence on world affairs, evaluation, temporal comparison","175 Generally speaking, the influence the United States today has on world affairs is?",likert_6,6,0.8,True,"175 generally speaking, the influence",1,132.0
q176,International Relations,"China influence on Asia, evaluation, good or harm",176 Does China do more good or harm to the Asia?,likert_4,4,0.8,False,176 does china do more,1,132.0
q177,International Relations,"China influence on world affairs, evaluation, temporal comparison","177 Generally speaking, the influence China today has on world affairs is?",likert_6,6,0.8,True,"177 generally speaking, the influence",2,46.66904755831214
q178,International Relations,"EU influence on world affairs, evaluation, temporal comparison","177 Generally speaking, the influence China today has on world affairs is? 178 Generally speaking, the influence the E.U. today has on world affairs is?",likert_6,6,0.8,True,world affairs is? 178 generally,1,132.0
q179,International Relations,"country influence in Asia, temporal comparison, future projection","179  In ten years, which country will have the most influence in Asia?",likert_5,5,0.8,False,"179 in ten years, which",1,132.0
q179other,Unknown,,"179. Other specify responses 

Variable: q180 
  Question: 180 Which country should be a model for our own country's future development?",likert_7,7,0.8,False,179. other specify responses variable:,1,132.0
q18,Demographics,organization membership,18 Name of the organization you belong to. First,categorical,21,0.8,False,18 name of the organization,1,132.0
q180other,International Relations,"influence, country, China","180. Other sepcify responses 

Variable: q181 
  Question: 181 How much influence does China have on our country?",likert_4,4,0.8,False,180. other sepcify responses variable:,1,132.0
q182,International Relations,"influence, country, China, evaluation, temporal comparison","182 Generally speaking, the influence China has on our country is?",likert_6,6,0.8,True,"182 generally speaking, the influence",1,132.0
q183,International Relations,"influence, country, USA",183 How much influence does USA have on our country?,likert_4,4,0.8,False,183 how much influence does,1,132.0
q184,International Relations,"influence, country, USA, evaluation, temporal comparison","184 General speaking, the influence USA has on our country is?",likert_6,6,0.8,True,"184 general speaking, the influence",1,132.0
q185,International Relations,"influence, aspect, major power",185 Which aspect of the major power’s influence and impact you have in mind when answering the above questions?,likert_6,6,0.8,False,which aspect of the major,1,132.0
q185Other,International Relations,"influence, aspect, major power, specifics","185. Other specify responses 

Variable: q186 
  Question: 186 How close do you feel to ASEAN? (ASEAN countries only)",likert_4,4,0.8,False,185. other specify responses variable:,1,132.0
q18_other,Organization Affiliation,"organization, affiliation","18 Other specify responses 

Variable: q19 
  Question: 19 Name of the organization you belong to. Second",categorical,21,0.8,False,18 other specify responses variable:,1,132.0
q19_other,Organization Affiliation,"organization, affiliation, specifics","19 Other specify responses 

Variable: q20 
  Question: 20 Name of the organization that you belong to. Third",categorical,21,0.8,False,19 other specify responses variable:,1,132.0
q2,Economic Perception,"economic condition, national level, current evaluation",2 How would you describe the change in the economic condition of our country over the last few years?,likert_5,5,0.8,False,2 how would you describe,2,46.66904755831214
q20_other,Organization Affiliation,"organization, affiliation, specifics","20 Other specify responses 

Variable: q21 
  Question: 21 Which organization you participate most actively in the last 12 months?'",categorical,21,0.8,False,20 other specify responses variable:,1,132.0
q21_other,Trust in People,"trust, evaluation, temporal comparison","21 Other specify responses 

Variable: q22 
  Question: 22 Would you say that 'Most people can be trusted' or 'that you must be very careful in dealing with people'?",binary,2,0.8,True,21 other specify responses variable:,1,132.0
q23,Trust in People,"trust, evaluation, temporal comparison",23 Do you agree with the statement that 'most people are trustworthy?',likert_4,4,0.8,False,you agree with the statement,1,132.0
q24,Trust in Specific Groups,"trust, evaluation, relationship",24 How much trust do you have in each of the following types of people? Your relatives,likert_4,4,0.8,True,following types of people? your,1,132.0
q25,Trust in Specific Groups,"trust, evaluation, relationship",24 How much trust do you have in each of the following types of people? 25 Trust in your neighbors,likert_4,4,0.8,True,following types of people? 25,1,132.0
q26,Trust in Specific Groups,"trust, evaluation, relationship",24 How much trust do you have in each of the following types of people? 26 Trust in other people you interact with,likert_4,4,0.8,True,following types of people? 26,1,132.0
q27,Trust in Specific Groups,"trust, evaluation, relationship",24 How much trust do you have in each of the following types of people? 27 Trust in people you meet for the first time,likert_4,4,0.8,True,following types of people? 27,1,132.0
q28,Social Network,"social contacts, frequency",28 How many people do you have contact with in a typical week day?,likert_5,5,0.8,False,28 how many people do,1,132.0
q29,Social Network,"social relationships, evaluation",29 Which of the following best describes your relations with most of your social contacts?,likert_4,4,0.8,False,29 which of the following,1,132.0
q3,Economic Perception,"economic condition, national level, current evaluation, future prediction",2 How would you describe the change in the economic condition of our country over the last few years? 3 What do you think will be the state of our country's economic condition a few years from now?,likert_5,5,0.8,False,last few years? 3 what,1,132.0
q30,Social Network and Politics,"social relationships, political views","30 Among these people you have frequent contacts, which of the following best describes the political views of these people?",likert_4,4,0.8,False,30 among these people you,1,132.0
q31,Social Support,"social support, help-seeking behavior, social network","31 If you have a difficult problem to manage, are there people outside your household you can ask for help?",likert_4,4,0.8,False,you have a difficult problem,1,132.0
q32,Social Tolerance,"social tolerance, interpersonal conflict, political disagreement","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",likert_4,4,0.8,False,32 if you had friends,1,132.0
q33,Voting Behavior,"voting behavior, civic engagement, political participation",33 Did you vote in the national election?,ordinal,4,0.5,True,you vote in the national,1,132.0
q34,Voting Behavior,"party affiliation, candidate preference, electoral choice",34 Which parties or candidates did you vote for?,categorical,41,0.8,False,34 which parties or candidates,1,132.0
q34other,Unknown,,"34. Other specify responses 

Variable: q34a 
  Question: 34a Did the respondent vote for the winning or losing camp?",likert_3,3,0.8,False,34. other specify responses variable:,1,132.0
q35,Voting Behavior,"campaign engagement, political activism, electoral participation",35 Did you attend a campaign meeting or rally in the last national election?,ordinal,4,0.5,True,did you attend a campaign,3,25.403411844343534
q36,Voting Behavior,"campaign engagement, political persuasion, electoral participation",35 Did you attend a campaign meeting or rally in the last national election? 36 Try to persuade others to vote for a certain candidate or party?,ordinal,4,0.5,True,last national election? 36 try,1,132.0
q37,Voting Behavior,"campaign engagement, political activism, electoral participation",35 Did you attend a campaign meeting or rally in the last national election? 37 Did you do anything else to help out or work for a party or candidate running in the last national election?,ordinal,4,0.5,True,last national election? 37 did,1,132.0
q38,Election Integrity,"election fairness, election freedom, electoral process","38 On the whole, how free and fair would you say the last national election was?",likert_4,4,0.8,False,"38 on the whole, how",1,132.0
q39,Service Accessibility,"public infrastructure, road conditions, service quality",39 How easy or difficult to obtain the roads in good condition,likert_4,4,0.8,True,39 how easy or difficult,2,46.66904755831214
q4,Economic Perception,"economic situation, family, evaluation, temporal comparison","4 As for your own family, how do you rate the economic situation of your family today?",likert_5,5,0.8,True,4 as for your own,1,132.0
q40,Service Accessibility,"infrastructure, condition, obtaining service",39 How easy or difficult to obtain the roads in good condition 40 How easy or difficult to obtain running water,likert_4,4,0.8,True,roads in good condition 40,1,132.0
q41,Service Accessibility,"public transportation, obtaining service",41 How easy or difficult to obtain public transportation,ordinal,5,0.5,True,41 how easy or difficult,5,11.806438921198891
q42,Service Accessibility,"healthcare, obtaining service",41 How easy or difficult to obtain public transportation 42 How easy or difficult to obtain healthcare,ordinal,5,0.5,True,obtain public transportation 42 how,1,132.0
q43,Service Accessibility,"police assistance, obtaining service",41 How easy or difficult to obtain public transportation 43 How easy or difficult to obtain help from the police when you need it,ordinal,5,0.5,True,obtain public transportation 43 how,1,132.0
q44,Service Accessibility,"Internet access, obtaining service",41 How easy or difficult to obtain public transportation 44 How easy or difficult to obtain access to the Internet,ordinal,5,0.5,True,obtain public transportation 44 how,1,132.0
q45,Service Accessibility,"childcare, obtaining service",41 How easy or difficult to obtain public transportation 45 How easy or difficult to obtain childcare,ordinal,5,0.5,True,obtain public transportation 45 how,1,132.0
q46,Safety Perception,"safety, living environment","46 Generally speaking, how safe is living in this city/town/village?",likert_4,4,0.8,False,"46 generally speaking, how safe",1,132.0
q47,Political Engagement,political interest,47 How interested would you say you are in politics?,likert_4,4,0.8,False,47 how interested would you,1,132.0
q48,Political Engagement,"news consumption, political awareness",48 How often do you follow news about politics and government?,likert_5,5,0.8,False,48 how often do you,1,132.0
q49,Unknown,,"49 When you get together with your family members or friends, how often do you discuss political matters?",likert_3,3,0.8,True,49 when you get together,1,132.0
q5,Unknown,,5 How would you compare the current economic condition of your family with what it was a few years ago?,likert_5,5,0.8,False,5 how would you compare,1,132.0
q50,Unknown,,"50 How often do you use the internet, either through computer, tablet or smartphone?",categorical,10,0.8,False,50 how often do you,1,132.0
q51a_Facebook,Unknown,,51a Which social media and text messaging services do you actively use? Facebook,binary,2,0.8,True,do you actively use? facebook,1,132.0
q51b_Twitter,Unknown,,51a Which social media and text messaging services do you actively use? 51b Twitter,binary,2,0.8,True,do you actively use? 51b,1,132.0
q51c_Instagram,Unknown,,51a Which social media and text messaging services do you actively use? 51c Instagram,binary,2,0.8,True,do you actively use? 51c,1,132.0
q51d_Youtube,Unknown,,51a Which social media and text messaging services do you actively use? 51d Youtube,binary,2,0.8,True,do you actively use? 51d,1,132.0
q51e_Tiktok,Unknown,,51a Which social media and text messaging services do you actively use? 51e Tiktok,binary,2,0.8,True,do you actively use? 51e,1,132.0
q51f_Messenger,Unknown,,q51f Messenger,binary,2,0.8,True,q51f messenger,1,92.4
q51g_Telegram,Unknown,,q51g Telegram,binary,2,0.8,True,q51g telegram,1,92.4
q51h_Line,Social Media Usage,"social media, platform, specific channel",q51h Line,binary,2,0.8,True,q51h line,1,92.4
q51i_Whatsapp,Social Media Usage,"social media, platform, specific channel",q51i Whatsapp,binary,2,0.8,True,q51i whatsapp,1,92.4
q51j_Snapchat,Social Media Usage,"social media, platform, specific channel",q51j Snapchat,binary,2,0.8,True,q51j snapchat,1,92.4
q51k_Vchat,Social Media Usage,"social media, platform, specific channel",q51k Vchat,binary,2,0.8,True,q51k vchat,1,92.4
q51l_Tumblr,Social Media Usage,"social media, platform, specific channel",q51l Tumblr,binary,2,0.8,True,q51l tumblr,1,92.4
q52a,Social Media Usage,"social media, frequency of use, social interaction",52a How often do you use social media to talk to or to connect with other people?,likert_4,4,0.8,True,52a how often do you,4,16.5
q52b,Social Media Usage,"social media, frequency of use, political expression",52a How often do you use social media to talk to or to connect with other people? 52b How often do you use social media to express my opinion on political issues?,likert_4,4,0.8,True,connect with other people? 52b,1,132.0
q52c,Social Media Usage,"social media, frequency of use, information sharing",52a How often do you use social media to talk to or to connect with other people? 52c How often do you use social media to share news or information?,likert_4,4,0.8,True,connect with other people? 52c,1,132.0
q52d,Social Media Usage,"social media, frequency of use, political influence",52a How often do you use social media to talk to or to connect with other people? 52d How often do you use social media to organize to influence politics?,likert_4,4,0.8,True,connect with other people? 52d,1,132.0
q53,Information Seeking,"information channel, political information, importance",53 Which one is the most important channel for you to find information about politics and government?,likert_6,6,0.8,False,one is the most important,1,132.0
q53other,Unknown,,"53. Other specify responses 

Variable: q54 
  Question: 54 Among the political parties listed here, which party if any do you feel closest to?",categorical,53,0.8,False,53. other specify responses variable:,1,132.0
q54other,Unknown,,"54. Other specify responses 

Variable: q55 
  Question: 55 How close do you feel to (answer in Q54)? Is it very close, somewhat close, or just a little close?",likert_3,3,0.8,False,54. other specify responses variable:,1,132.0
q56,Social Norms,"family values, personal interests, sacrifice","56 For the sake of the family, the individual should put his personal interests second.",likert_4,4,0.8,False,"family, the individual should put",12,3.1754264805429417
q57,Social Norms,"group dynamics, collective interest, sacrifice","56 For the sake of the family, the individual should put his personal interests second. 57 In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",likert_4,4,0.8,False,his personal interests second. 57,1,132.0
q58,Social Norms,"national interest, individual interest, sacrifice","56 For the sake of the family, the individual should put his personal interests second. 58 For the sake of national interest, individual interest could be sacrificed.",likert_4,4,0.8,False,his personal interests second. 58,1,132.0
q59,Social Norms,"long-term relationships, immediate interest, priority","56 For the sake of the family, the individual should put his personal interests second. 59 When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",likert_4,4,0.8,False,his personal interests second. 59,1,132.0
q6,Economic Perception,"economic condition, national level, current evaluation, temporal comparison",6 What do you think the economic situation of your family will be a few years from now?,likert_5,5,0.8,False,you think the economic situation,1,132.0
q60,Social Norms,"parent-child relationships, obedience, authority","56 For the sake of the family, the individual should put his personal interests second. 60 Even if parents' demands are unreasonable, children still should do what they ask.",likert_4,4,0.8,False,his personal interests second. 60,1,132.0
q61,Social Norms,"family relationships, authority, obedience","56 For the sake of the family, the individual should put his personal interests second. 61 When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",likert_4,4,0.8,False,his personal interests second. 61,1,132.0
q62,Social Norms,"authority, obedience, student-teacher relationships","56 For the sake of the family, the individual should put his personal interests second. 62 Being a student, one should not question the authority of their teacher.",likert_4,4,0.8,False,his personal interests second. 62,1,132.0
q63,Social Norms and Family Values,"family values, personal interests, social harmony","56 For the sake of the family, the individual should put his personal interests second. 63 In a group, we should avoid open quarrel to preserve the harmony of the group.",likert_4,4,0.8,False,his personal interests second. 63,1,132.0
q64,Social Norms and Conflict Resolution,"conflict resolution, social harmony, disagreement","56 For the sake of the family, the individual should put his personal interests second. 64 Even if there is some disagreement with others, one should avoid the conflict.",likert_4,4,0.8,False,his personal interests second. 64,1,132.0
q65,Social Norms and Teamwork,"teamwork, opinions, disagreement","56 For the sake of the family, the individual should put his personal interests second. 65 A person should not insist on his own opinion if his co-workers disagree with him.",likert_4,4,0.8,False,his personal interests second. 65,1,132.0
q66,Fate and Destiny,"fate, destiny, wealth and poverty","56 For the sake of the family, the individual should put his personal interests second. 66 Wealth and poverty, success and failure are all determined by fate.",likert_4,4,0.8,False,his personal interests second. 66,1,132.0
q67,Social Norms and Family Planning,"family planning, child preference, gender preference","56 For the sake of the family, the individual should put his personal interests second. 67 If one could have only one child, it is more preferable to have a boy than a girl.",likert_4,4,0.8,False,his personal interests second. 67,1,132.0
q68,Citizen Engagement and Government Interaction,"citizen engagement, government interaction, official contact","68 In the past three years, have you ever contacted elected officials or legislative representatives at any level?",likert_5,5,0.8,False,68 in the past three,1,132.0
q69,Citizen Engagement and Government Interaction,"government interaction, official contact, civil servant contact",69  Contacted civil servants or officials,likert_5,5,0.8,False,69 contacted civil servants or,1,132.0
q7,Trust in Government,"trust, executive office, government",7 Trust in the excutive office (president or prime minister),likert_4,4,0.8,True,7 trust in the excutive,1,132.0
q70,Citizen Engagement and Government Interaction,"government interaction, official contact, influential people contact","70  Contacted other influential people outside the government, such as traditional leaders/community leaders",likert_5,5,0.8,False,70 contacted other influential people,1,132.0
q71,Citizen Engagement and Government Interaction,"government interaction, official contact, news media contact",71  Contacted news media,likert_5,5,0.8,False,71 contacted news media,1,132.0
q72,Civic Engagement,"participation, petition, expression",72  Signed a paper or online petition?,likert_5,5,0.8,False,72 signed a paper or,6,8.981462390204985
q73,Civic Engagement,"participation, internet, social media, opinion expression",72  Signed a paper or online petition? 73  Used the Internet including Social Media Networks to express opinions about politics,likert_5,5,0.8,False,paper or online petition? 73,1,132.0
q74,Civic Engagement,"participation, group, cause, support",72  Signed a paper or online petition? 74  Joined a group to activiely support a cause [including online],likert_5,5,0.8,False,paper or online petition? 74,1,132.0
q75,Civic Engagement,"participation, face-to-face, problem resolution",72  Signed a paper or online petition? 75  Got together with others face-to face to try to resolve local problems,likert_5,5,0.8,False,paper or online petition? 75,1,132.0
q76,Civic Engagement,"participation, demonstration, protest",72  Signed a paper or online petition? 76  Attended a demonstration or protest march,likert_5,5,0.8,False,paper or online petition? 76,1,132.0
q77,Civic Engagement,"participation, risk, injury, cause",72  Signed a paper or online petition? 77  Taken an action or done something for a political cause that put you in risk of getting injured,likert_5,5,0.8,False,paper or online petition? 77,1,132.0
q78,Voting Behavior,"voting, frequency, election","78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",likert_4,4,0.8,False,78 thinking of whether you,1,132.0
q79,Voting Behavior,"vote buying, corruption, election campaign","79 In recent years and thinking about election campaigns, has a candidate or someone from a political party or campaign team offered you something, like food, cash, a gift, or a job in return for your vote or support?",likert_3,3,0.8,True,79 in recent years and,1,132.0
q8,Justice System,courts,8 The courts,likert_4,4,0.8,True,8 the courts,1,132.0
q80,System Efficacy,"government capability, problem solving","80  Over the long run, our system of government is capable of solving the problems our country faces.",likert_4,4,0.8,False,"80 over the long run,",4,16.5
q81,Trust in Government,"government evaluation, pride, temporal comparison","80  Over the long run, our system of government is capable of solving the problems our country faces. 81  Thinking in general, I am proud of our system of government.",likert_4,4,0.8,False,problems our country faces. 81,1,132.0
q82,Trust in Government,"government support, problem solving, temporal comparison","80  Over the long run, our system of government is capable of solving the problems our country faces. 82  A system like ours, even if it runs into problems, deserves the people's support.",likert_4,4,0.8,False,problems our country faces. 82,1,132.0
q83,Trust in Government,"government preference, system evaluation, temporal comparison","80  Over the long run, our system of government is capable of solving the problems our country faces. 83  I would rather live under our system of government than any other that I can think of.",likert_4,4,0.8,False,problems our country faces. 83,1,132.0
q84,Trust in Government,"government performance, change, evaluation","84 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",likert_4,4,0.8,False,84 would you say our,1,132.0
q85,Concept of Democracy,"democracy characteristics, evaluation, choice",85 Which one would you choose as the most essential characteristics of a democracy: Set 1?,likert_4,4,0.8,False,85 which one would you,1,132.0
q86,Concept of Democracy,"democracy characteristics, evaluation, choice",86 Which one would you choose as the most essential characteristics of a democracy: Set 2?,likert_4,4,0.8,False,86 which one would you,1,132.0
q87,Concept of Democracy,"democracy characteristics, evaluation, choice",87 Which one would you choose as the most essential characteristics of a democracy: Set 3?,likert_4,4,0.8,False,87 which one would you,1,132.0
q88,Concept of Democracy,"democracy characteristics, evaluation, choice",88 Which one would you choose as the most essential characteristics of a democracy: Set 4?,likert_4,4,0.8,False,88 which one would you,1,132.0
q89,Concept of Democracy,"democracy meaning, evaluation, open-ended response","89 To you, what does “democracy” mean? (open-ended) <optional>",unknown,0,0.0,False,"89 to you, what does",1,132.0
q9,Government Structure,"government location, national level",9 National government in the capital city,likert_4,4,0.8,True,national government in the capital,1,132.0
q90,Trust in Government,"democracy, evaluation, temporal comparison","90 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",likert_4,4,0.8,False,"90 on the whole, how",1,132.0
q91,Trust in Government,"democracy, evaluation, temporal comparison",91 In your opinion how much of a democracy is our country?,likert_4,4,0.8,False,91 in your opinion how,1,132.0
q92,Trust in Government,"government performance, evaluation",92 Where would you place our country under the present government?,ordinal,2,0.5,False,92 where would you place,3,25.403411844343534
q93,Trust in Government,"government performance, temporal comparison, evaluation",92 Where would you place our country under the present government? 93 Where would you place our country ten years ago?,ordinal,2,0.5,False,under the present government? 93,1,132.0
q94,Trust in Government,"government performance, temporal comparison, evaluation",92 Where would you place our country under the present government? 94 Where would you expect our country to be ten years from now?,ordinal,2,0.5,False,under the present government? 94,1,132.0
q95,Trust in Government,"democracy, evaluation",95 Where would you place our country today? Democracy is suitable or not,ordinal,2,0.5,False,95 where would you place,1,132.0
q96,Trust in Government,"government performance, evaluation",96 How satisfied or dissatisfied are you with the current president/government?,likert_4,4,0.8,False,96 how satisfied or dissatisfied,1,132.0
q97,Government Responsiveness,"government performance, problem identification",97 What are the most important problems facing this country that government should address? First,categorical,36,0.8,False,that government should address? first,1,132.0
q97aother,Government Responsiveness,"government performance, problem identification","97a. Other specify responses 

Variable: q97b 
  Question: 97b What are the most important problems facing this country that government should address? Third",categorical,37,0.8,False,97a. other specify responses variable:,1,132.0
q97bother,Government Responsiveness,"government performance, problem identification","97b. Other specify responses 

Variable: q98 
  Question: 98 How likely is it that the government will solve the most important problem you identified within the next five years?",likert_4,4,0.8,False,97b. other specify responses variable:,1,132.0
q97other,Unknown,,"97. Other specify responses 

Variable: q97a 
  Question: 97a What are the most important problems facing this country that government should address? Second",categorical,37,0.8,False,97. other specify responses variable:,1,132.0
q99,Government Accountability,"elections, government removal, democratic process",99 Citizens are able to remove a government they don't like through elections.,likert_4,4,0.8,False,citizens are able to remove,9,4.888888888888889
