variable_id,domain,concepts,question_text,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q75,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 75 Signed an online petition",any level 75,1,100.0
q76,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 76 Used the internet including social media networks to express opinions about politics and government",any level 76,1,100.0
q77,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 77 Joined a group to actively support a cause(including online)",any level 77,1,100.0
q78,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 78 Got together with others face-to-face to try to resolve local problems",any level 78,1,100.0
q79,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 79 Attended a demonstration or protest march",any level 79,1,100.0
q8,Unknown,,8 The courts,8 the courts,1,100.0
q80,Unknown,,"70 In the past three years, have you ever contacted elected officials or legislative representatives at any level 80 Taken an action or done something for a political cause that put you in a risk of getting injured",any level 80,1,100.0
q81,Unknown,,"81 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted in every election, voted in most elections, voted in some elections or hardly ever voted?",81 thinking of,1,100.0
q82,Unknown,,82 which of the following statements do you agree with most?government leaders vs.their citizens,82 which of,1,100.0
q82a,Unknown,,82a Do you strongly agree or just agree with the chosen statement?,82a do you,1,100.0
q83,Unknown,,83 Which of the following statements do you agree with most? the problem of accountability,83 which of,1,100.0
q83a,Unknown,,83a Do you strongly agree or just agree with the chosen statement?,83a do you,1,100.0
q84,Unknown,,84 Which of the following statements do you agree with most? freedom of the press,84 which of,1,100.0
q84a,Unknown,,84a Do you strongly agree or just agree with the chosen statement?,84a do you,1,100.0
q85,Unknown,,85 Which of the following statements do you agree with most? political leader,85 which of,1,100.0
q85a,Unknown,,85a Do you strongly agree or just agree with the chosen statement?,85a do you,1,100.0
q86,Unknown,,"86 Over the long run, our system of government is capable of solving the problems our country face",86 over the,4,12.5
q87,Unknown,,"86 Over the long run, our system of government is capable of solving the problems our country face 87 Thinking in general, I am proud of our system of government",country face 87,1,100.0
q88,Unknown,,"86 Over the long run, our system of government is capable of solving the problems our country face 88 A system like ours, even if it runs into problems, deserves the people's support",country face 88,1,100.0
q89,Unknown,,"86 Over the long run, our system of government is capable of solving the problems our country face 89 I would rather live under our system of government than any other that I can think of.",country face 89,1,100.0
q9,Unknown,,9 National government in the capital city,9 national government,1,100.0
q90,Unknown,,"90 Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",90 would you,1,100.0
q91,Unknown,,91 The courts protects the ordinary people from the abuse of government power,91 the courts,1,100.0
q92,Unknown,,92 Politics is clean and free of corruption,92 politics is,1,100.0
q93,Unknown,,93 People have the freedom to take part in protests and demonstrations,93 people have,1,100.0
q94,Unknown,,"94 When making laws, the government seek advice from religious authorities",94 when making,1,100.0
q95,Unknown,,95 Political leaders rule by following their own wisdom rathan than people's preferences to ensure a society's collective welfare,95 political leaders,1,100.0
q96,Unknown,,96 Rule by one party that represents the interests of all classes,96 rule by,1,100.0
q97,Unknown,,97 Qualified candidates are pre-selected by religious leaders,97 qualified candidates,1,100.0
q98,Unknown,,"98 If you have to choose only one, which of the following you think is the most essential element of a democracy?",98 if you,1,100.0
q99,Unknown,,"99 On the whole, how satisfied or dissatisfied are you with the way democracy works in our country?",99 on the,1,100.0
se15a_1,Unknown,,Se15a_1 How many?,se15a_1 how many?,1,100.0
se15n_1,Unknown,,Se15n_1 How many?,se15n_1 how many?,1,100.0
se15o_1,Unknown,,Se15o_1 How many?,se15o_1 how many?,1,100.0
