variable_id,domain,concepts,question_text,value_labels,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q160,Unknown,,Impression: The European Community or European Union,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: the european,1,100.0
q161,Unknown,,Impression: The United Nations or UN,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: the united,1,100.0
q162,Unknown,,Impression: International Monetary Fund or IMF,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: international monetary,1,100.0
q163,Unknown,,Impression: World Bank,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: world bank,1,100.0
q164,Unknown,,Impression: United States,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: united states,1,100.0
q165,Unknown,,Impression: China,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: china,1,80.0
q166,Unknown,,Impression: Japan,1=Very Bad; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 2=...; 10=Very Good; 90=Not applicable; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer,impression: japan,1,80.0
q17,Unknown,,Trust in television,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in television,1,100.0
q18,Unknown,,Trust in the election commission(Singapore: International TV),1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the election commission(singapore:,1,100.0
q19,Unknown,,Trust in NGOs,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in ngos,1,100.0
q2,Unknown,,How would you describe the change in the economic condition of our country over the last years?,1=Much worse; 2=A little worse; 3=About the same; 4=A little better; 5=Much better; 8=Can't choose; 9=Decline to answer,describe the change,2,35.35533905932737
q20,Unknown,,Are you a member of any organization or formal groups?,1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,you a member,1,100.0
q20_1,Unknown,,First organization,1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups (exc.); 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business association; 12=Parent-Teacher Association or PTA; 13=Producer cooperative; 14=Consumer cooperative; 15=Alumni association; 16=Candidate support organization; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Hometown associations(others); 20=Clan associations(others); 90=Not a member of any organization or group; 98=Not applicable; 99=No more answer,first organization,1,80.0
q20_2,Unknown,,Second organization,1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups (exc.); 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business association; 12=Parent-Teacher Association or PTA; 13=Producer cooperative; 14=Consumer cooperative; 15=Alumni association; 16=Candidate support organization; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Hometown associations(others); 20=Clan associations(others); 90=Not a member of any organization or group; 98=Not applicable; 99=No more answer,second organization,1,80.0
q20_3,Unknown,,Third organization,1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups (exc.); 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business association; 12=Parent-Teacher Association or PTA; 13=Producer cooperative; 14=Consumer cooperative; 15=Alumni association; 16=Candidate support organization; 17=Other occupational organizations (etc.); 18=Other volunteer organizations; 19=Hometown associations(others); 20=Clan associations(others); 90=Not a member of any organization or group; 98=Not applicable; 99=No more answer,third organization,1,80.0
q23,Unknown,,"General speaking, would you say ""Most people can be trusted"" or ""that you must be very careful""?",1=You must be very careful in dealing with people; 2=Most people can be trusted; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,"general speaking, would",1,100.0
q24,Unknown,,How much trust do you have in your relatives?,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,how much trust,3,19.245008972987524
q25,Unknown,,How much trust do you have in your relatives? How much trust do you have in your neighbors?,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in your neighbors?,1,100.0
q26,Unknown,,How much trust do you have in your relatives? How much trust do you have in other people you interact with?,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,have in other,1,100.0
q27,Unknown,,"On average, about how many people do you have contact with in a typical week day?",0=Not applicable; 1=0-4 people; 2=5-9 people; 3=10-19 people; 4=20-49 people; 5=50 or more people; 8=Can't choose; 9=Decline to answer,"on average, about",1,100.0
q28,Unknown,,How often are you asked to help influence important decisions in other people's favor?,1=Never; 2=Seldom; 3=Occasionally; 4=Often; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,how often are,1,100.0
q29,Unknown,,And are there people you could ask to help influence important decisions in your favor?,"1=No, nobody; 2=Yes, a few; 3=Yes, some; 4=Yes, a lot; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer",and are there,1,100.0
q3,Unknown,,How would you describe the change in the economic condition of our country over the last years? What do you think will be the state of our country's economic condition a few years from now?,1=Much worse; 2=A little worse; 3=About the same; 4=A little better; 5=Much better; 8=Can't choose; 9=Decline to answer,last years? what,1,100.0
q30,Unknown,,"Do you agree or disagree with the following statement: By helping people in trouble today, someone else will help me when I am in trouble someday.",1=Agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Disagree; 5=Neither agree nor disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,following statement: by,1,100.0
q31,Unknown,,Would you have a hard time conversing with your friends or co-workers about politics if you had differing opinions?,1=Very hard; 2=A bit hard; 3=Not too hard; 4=Not hard at all; 7=Do not understand the question; 8=Can't choose; 9=Don't respond,have a hard,1,100.0
q32,Unknown,,"Generally speaking, how safe is living in this city/town/village?",1=Very safe; 2=Safe; 3=Unsafe; 4=Very unsafe; 8=Can't choose; 9=Decline to answer,"generally speaking, how",1,100.0
q33,Unknown,,"Compared to the situation in this city/town/village a few years ago, do you feel more safe, less safe or the same as before?",0=Not applicable; 1=More safe; 2=Less safe; 3=Same as before; 8=Can't choose; 9=Decline to answer,compared to the,1,100.0
q34,Unknown,,"Have you been a victim of car, motorcycle or bicycle theft?",0=Do not own any kind of vehicle; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,"victim of car,",1,100.0
q35,Unknown,,Have you been a victim of pick-pocketing/robbery of personal property?,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,victim of pick-pocketing/robbery,4,12.5
q36,Unknown,,Have you been a victim of pick-pocketing/robbery of personal property? Have you been a victim of break-in at your home?,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,victim of break-in,1,100.0
q37,Unknown,,Have you been a victim of pick-pocketing/robbery of personal property? Have you been a victim of physical violence?,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,victim of physical,1,100.0
q38,Unknown,,Have you been a victim of pick-pocketing/robbery of personal property? Have you voted in the last election?,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,you voted in,1,100.0
q39,Unknown,,Which parties (or candidates for president if it was presidential race) did you vote for?,"90=Not applicable; 94=Secret; 95=No answer; 96=Forgot; 97=Do not know; 98=Cannot choose; 99=Decline to answer; 101=LDP; 102=DPJ; 103=Komeito(CGP); 104=SDP; 105=JCP; 106=other party; 107=Independent; 110=no information; 111=voted in blank; 301=The Uri Party(governing party); 302=The Grand National Party; 303=The Democratic Party; 304=The United Liberal Democrats; 305=The Democratic Labor Party; 306=Other Parties; 107=Independent; 501=N. Enhbayar; 502=M. Enhsaikhan; 503=B. Jargalsaikhan; 504=B. Erdenebat; 601=LACSON, PANFILO; 602=MACAPAGAL-ARROYO, GLORIA; 603=POE, FERNANDO JR.; 604=ROCO, RAUL; 605=VILLANUEVA, EDUARDO; 701=Shui-bian Chen and Annette Lu; 702=Chan Lien and James Soong; 801=THAI RAK THAI; 802=Other Party; 803=Vote for no vote; 804=Non-valid vote; 901=Indonesian National Party Marhaenism; 902=Social Democrat Labour Party; 903=Crescent Star Party; 904=Independent Party; 905=United Development Party; 906=United Democratic Nationhood Party; 907=New Indonesia Union Party; 908=Freedom Bull National Party; 909=Democrat Party; 910=Justice and Unity Party; 911=Indonesian Democratic Vanguard Party; 912=Indonesian United Renaissance People Party; 913=National Mandate Party; 914=Concern for thel Nation Functional Party; 915=National Awakening Party; 916=Prosperous and Justice Party; 917=Reform Star Party; 918=Indonesian Democratic Party-Struggle; 919=Peace and Prosperous Party; 920=Functional Group Party; 921=Patriot Pancasila Party; 922=Indonesian Association Party; 923=United Regional Party; 924=Vanguard Party; 1301=BarisanNasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 1307=PBB; 1308=SUPP; 1309=Other BN party; 1310=Opposition; 1311=PAS; 1312=DAP; 1313=PKR; 1314=Other",which parties (or,1,100.0
q39a,Unknown,,If the respondent voted for the winning camp or loosing camp?,0=Not applicable; 1=Voted for the winning camp(governing party); 2=Voted for the losing camp(opposition party); 9=Decline to answer,if the respondent,1,100.0
q4,Unknown,,"As for your own family, how do you rate your economic situation today?",1=Very bad; 2=Bad; 3=So so (not good nor bad); 4=Good; 5=Very good; 8=Can't choose; 9=Decline to answer,as for your,1,100.0
q40,Unknown,,Attend a campaign meeting or rally,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,attend a campaign,1,100.0
q41,Unknown,,Try to persuade others to vote for a certain candidate or party,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,try to persuade,1,100.0
q42,Unknown,,Did you do anything else to help out or work for a party or candidate running in the election,0=Not applicable; 1=No; 2=Yes; 8=Can't choose; 9=Decline to answer,you do anything,1,100.0
q43,Unknown,,"On the whole, how would you rate the freeness and fairness of the last national election?","0=Not applicable; 1=Completely free and fair; 2=Free and fair, but with minor problems; 3=Free and fair, with major problems; 4=Not free or fair; 8=Can't choose; 9=Decline to answer","whole, how would",1,100.0
q44,Unknown,,How easy is it to obtain: An identity document,0=Not applicable; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Try; 8=Can't choose; 9=Decline to answer,how easy is,4,12.5
q45,Unknown,,How easy is it to obtain: An identity document How easy is it to obtain: A place in public primary school for a child,0=Not applicable; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Try; 8=Can't choose; 9=Decline to answer,obtain: a place,1,100.0
q46,Unknown,,How easy is it to obtain: An identity document How easy is it to obtain: Medical treatment at a nearby clinic,0=Not applicable; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Try; 8=Can't choose; 9=Decline to answer,to obtain: medical,1,100.0
q47,Unknown,,How easy is it to obtain: An identity document How easy is it to obtain: Help from the police when you need it,0=Not applicable; 1=Very Difficult; 2=Difficult; 3=Easy; 4=Very Easy; 5=Never Try; 8=Can't choose; 9=Decline to answer,to obtain: help,1,100.0
q48,Unknown,,How would you describe the present political situation in our country,1=Very good; 2=Good; 3=Average; 4=Bad; 5=Very bad; 8=Can't choose; 9=Decline to answer,describe the present,1,100.0
q49,Unknown,,How interested would you say you are in politics,1=Not at all interested; 2=Not very interested; 3=Somewhat interested; 4=Very interested; 7=No answer; 8=Can't choose; 9=Decline to answer,how interested would,1,100.0
q5,Unknown,,How would you compare the current economic condition of your family with what it was a few years ago?,1=Much worse now; 2=A little worse now; 3=About the same; 4=A little better now; 5=Much better now; 8=Can't choose; 9=Decline to answer,would you compare,1,100.0
q50,Unknown,,How often do you follow news about politics and government,1=Practically never; 2=Not even once a week; 3=Once or twice a week; 4=Several times a week; 5=Everyday; 6=No Answer; 7=No answer; 8=Can't choose; 9=Decline to answer,you follow news,1,100.0
q51_1,Unknown,,Main source of information. Question 51.01 Television,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,source of information.,1,100.0
q51_2,Unknown,,Question 51.02 Newspaper,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.02 newspaper,1,100.0
q51_3,Unknown,,Question 51.03 Radio,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.03 radio,1,100.0
q51_4,Unknown,,Question 51.04 Internet,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.04 internet,1,100.0
q51_5,Unknown,,Question 51.05 Cell phone short message (SMS),0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.05 cell,1,100.0
q51_6,Unknown,,Question 51.06 Personal contact,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.06 personal,1,100.0
q51_7,Unknown,,Question 51.07 Other,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,question 51.07 other,1,100.0
q51_8,Unknown,,Magazine,0=Not applicable; 1=Yes; 2=No; 8=Can't choose; 9=Decline to answer,magazine,1,50.0
q51a,Unknown,,From Q51 Which is most important,1=Television; 2=Newspaper; 3=Radio; 4=Internet; 5=Cell phone short message (SMS); 6=Personal contact; 7=Other(My: religious leader); 8=Magazine; 11=International TV; 90=Not applicable; 98=Can't choose; 99=Decline to answer,from q51 which,1,100.0
q52,Unknown,,"When you get together with your family members or friends, how often do you discuss political matters?",1=Frequently; 2=Occasionally; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,when you get,1,100.0
q53,Unknown,,How much impact do you feel government politics have on your daily life?,1=No impact at all; 2=A little impact; 3=Quite some impact; 4=A great deal of impact; 7=No answer; 8=Can't choose; 9=Decline to answer,how much impact,1,100.0
q54,Unknown,,"Among the political parties listed here, which party if any do you feel closest to?",95=Cannot choose; 96=Decline to answer; 97=Do not know; 98=No answer; 99=Do not feel close to any political party; 101=LDP; 102=DPJ; 103=Komeito(CGP); 104=SDP; 105=JCP; 106=other party; 201=Democratic Party; 202=DAB; 203=Liberal Party; 204=Civic Party; 205=Frontier; 206=ADPL; 207=League of Social Democrats; 211=The Hong Kong Federation of Trade Union; 212=Neighbourhood & Worker's Service Centre; 213=Pan-democratic; 214=Right Wing; 301=The Uri Party(governing party); 302=The Grand National Party; 303=The Democratic Party; 304=The Democratic Labor Party; 305=The People First Party; 306=Other Parties; 501=MPRP; 502=DP; 503=CCP; 504=MP; 505=RP; 506=PP; 507=other; 601=LABAN NG DEMOKRATIKONG PILIPINO; 602=LAKAS-NUCD-UMDP; 603=LIBERAL PARTY; 604=NACIONALISTA PARTY; 605=NATIONALIST PEOPLE'S COALITION; 606=PARTIDO NG MASANG PILIPINO; 607=PDP-LABAN; 608=GABRIELA; 609=KMP - KILUSAN NG MASANG PILIPINO (GRUPO NI FPJ); 610=GRUPO NI CORY AQUINO; 611=PARTIDO NI LACSON; 612=PARTIDO NI ROCO; 613=ASIAN PACIFIC ELECTRONICS COOPERATIVES; 614=PARTIDO NI EDDIE; 615=PARTIDO NI VILLANUEVA; 616=PARTIDO NI JOEY HIZON; 617=PARTIDO NI MAYOR BELMONTE; 618=BAYAN MUNA; 619=PARTIDO NI ROILO GOLEZ; 620=FILIPINO ALLIANCE MOVEMENT SUPPORT GROUP; 621=MAYO UNO (LABOR UNION); 622=OPOSISYON; 623=PARTIDO NI ESCUDERO; 624=ANAK PAWIS; 625=SANLAKAS; 626=PARTIDO NI MAYOR OREA; 627=MAYOR'S QUANO; 701=KMT; 702=DPP; 703=New Party; 704=PFP; 705=TSU; 706=Other; 801=PRAJADHIPAT; 802=THAI RAK THAI; 803=CHART THAI; 804=MAHACHON; 805=Other Party; 901=Indonesian National Party Marhaenism; 902=Social Democrat Labour Party; 903=Crescent Star Party; 904=Independent Party; 905=United Development Party; 906=United Democratic Nationhood Party; 907=New Indonesia Union Party; 908=Freedom Bull National Party; 909=Democrat Party; 910=Justice and Unity Party; 911=Indonesian Democratic Vanguard Party; 912=Indonesian United Renaissance People Party; 913=National Mandate Party; 914=Concern for thel Nation Functional Party; 915=National Awakening Party; 916=Prosperous and Justice Party; 917=Reform Star Party; 918=Indonesian Democratic Party-Struggle; 919=Peace and Prosperous Party; 920=Functional Group Party; 921=Patriot Pancasila Party; 922=Indonesian Association Party; 923=United Regional Party; 924=Vanguard Party; 1101=Vietnamese Communist Party; 1301=BarisanNasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 1307=PBB; 1308=SUPP; 1309=Other BN party; 1310=Opposition; 1311=PAS; 1312=DAP; 1313=PKR; 706=Other,among the political,1,100.0
q55,Unknown,,How close do you feel to the party(answer in Q54)?,0=Not applicable; 1=Just a little close; 2=Somewhat close; 3=Very close; 8=Can't choose; 9=Decline to answer,how close do,1,100.0
q56,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,even if parents',10,3.1622776601683795
q57,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask Being a student, one should not question the authority of their teacher",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask being,1,100.0
q58,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask When one has conflict with a neighbor, the best way to deal with it is to accommodate the other person",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,ask when one,1,100.0
q59,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask A person should not insist on his own opinion if his co-workers disagree with him",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask a,1,100.0
q6,Unknown,,What do you think the economic situation of your family will be a few years from now?,1=Much worse; 2=A little worse; 3=About the same; 4=A little better; 5=Much better; 8=Can't choose; 9=Decline to answer,think the economic,1,100.0
q60,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask For the sake of the family, the individual should put his personal interests second",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask for,1,100.0
q61,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask Sometimes one has to follow one's own beliefs regardless of what other people think",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask sometimes,1,100.0
q62,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask When dealing with others, securing one's immediate interests should be more important than developing a long-term",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,ask when dealing,1,100.0
q63,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask Open quarrels (criticisms) among politicians are harmful to society",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask open,1,100.0
q64,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask The relationship between the government and the people should be like that between parents and children",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask the,1,100.0
q65,Unknown,,"Even if parents' demands are unreasonable, children still should do what they ask People should always support the decisions of their government even if they disagree with them",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,they ask people,1,100.0
q66,Unknown,,How often do you use the internet?,0=Not aware of Internet; 1=Almost daily; 2=At least once a week; 3=At least once a month; 4=Several times a year; 5=Hardly ever; 6=Never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,do you use,1,100.0
q67,Unknown,,How closely do you follow major events in foreign countries/the world?,1=Very closely; 2=Somewhat closely; 3=Not too closely; 4=Very little; 5=Not at all; 7=No answer; 8=Can't choose; 9=Decline to answer,how closely do,1,100.0
q68,Unknown,,"Have you traveled abroad before? If you have, how often do you travel abroad?",1=A few times a year; 2=Almost once a year; 3=Just a few times in my whole life; 4=Just once in my whole life; 5=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,have you traveled,1,100.0
q69,Unknown,,How often do you have personal contact with foreigners?,1=Almost daily; 2=At least once a week; 3=At least once a month; 4=Several times a year; 5=Hardly ever; 6=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,you have personal,1,100.0
q7,Unknown,,Trust in Prime Minister or president,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in prime,1,100.0
q70,Unknown,,We should give up gains in the present for the possibility of larger gains in the future,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,we should give,9,3.7037037037037037
q71,Unknown,,We should give up gains in the present for the possibility of larger gains in the future Conflict among political groups is not a bad thing for our country,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the future conflict,1,100.0
q72,Unknown,,"We should give up gains in the present for the possibility of larger gains in the future If a government policy serves the interests of the majority of people, I should support it",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,future if a,1,100.0
q73,Unknown,,We should give up gains in the present for the possibility of larger gains in the future The best way to deal with complicated political issues should be to leave them to the future,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,future the best,1,100.0
q74,Unknown,,We should give up gains in the present for the possibility of larger gains in the future Political reform should be introduced little-by-little instead of all-at-once,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the future political,1,100.0
q75,Unknown,,We should give up gains in the present for the possibility of larger gains in the future Cruel criminals should be punished immediately without regard to time-consuming legal processes,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the future cruel,1,100.0
q76,Unknown,,"We should give up gains in the present for the possibility of larger gains in the future For the sake of the national community/society, the individual should be prepared to sacrifice",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,the future for,1,100.0
q77,Unknown,,We should give up gains in the present for the possibility of larger gains in the future The most important thing for political leaders is to accomplish their goals even if they have to ignore the established procedure,1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,future the most,1,100.0
q78,Unknown,,"We should give up gains in the present for the possibility of larger gains in the future If possible, I don't want to get involved in political matters",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,"future if possible,",1,100.0
q79,Unknown,,Contacted government (administrative) official,1=Once; 2=More than once; 3=Never; 7=Not applicable; 8=Can't choose; 9=Decline to answer,contacted government (administrative),1,100.0
q8,Unknown,,Trust in the Courts,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,in the courts,1,100.0
q80,Unknown,,Contacted officials at higher level,1=Once; 2=More than once; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,contacted officials at,1,100.0
q81,Unknown,,Contacted elected officials or legislative representatives at any level,1=Once; 2=More than once; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,contacted elected officials,1,100.0
q82,Unknown,,Contacted officials of political parties or other political organizations,1=Once; 2=More than once; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,contacted officials of,1,100.0
q83,Unknown,,Contacted representative of non-government/civil society organizations,1=Once; 2=More than once; 3=Never; 8=Can't choose; 9=Decline to answer,contacted representative of,1,100.0
q84,Unknown,,Contacted traditional leaders/community leaders (IN: Mass media; TW/HK: Acquaintances in the government),1=Once; 2=More than once; 3=Never; 8=Can't choose; 9=Decline to answer,contacted traditional leaders/community,1,100.0
q85,Unknown,,Contacted other influential people,1=Once; 2=More than once; 3=Never; 7=Not applicable; 8=Can't choose; 9=Decline to answer,contacted other influential,1,100.0
q86,Unknown,,Refused to pay taxes or fees to the government,1=Once; 2=More than once; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,refused to pay,1,100.0
q87,Unknown,,Got together with others to raise an issue or sign a petition,1=Once; 2=More than once; 3=Never; 7=No answer; 8=Can't choose; 9=Decline to answer,got together with,1,100.0
q88,Unknown,,Attended a demonstration or protest march,0=Not applicable; 1=Once; 2=More than once; 3=Never; 8=Can't choose; 9=Decline to answer,attended a demonstration,1,100.0
q89,Unknown,,Used force or violence for a political cause,1=Once; 2=More than once; 3=Never; 8=Can't choose; 9=Decline to answer,used force or,1,100.0
q9,Unknown,,Trust in the national government,1=None at all; 2=Not Very Much Trust; 3=Quite a Lot of Trust; 4=A Great Deal of Trust; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer,trust in the national,1,100.0
q90,Unknown,,"Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself-have you voted",0=Not applicable (eligible only once); 1=Voted in every election; 2=Voted in most elections; 3=Voted in some elections; 4=Hardly ever voted; 8=Can't choose; 9=Decline to answer,thinking of whether,1,100.0
