variable_id,domain,concepts,question_text,value_labels
q157,Economic Security,"job security, income stability, temporal concern",157 How concerned are you about the loss of your major source of income within the next 12 months?,-1=Missing; 1=Not at all; 2=A little bit; 3=Quite a bit; 4=Very concerned; 7=Do not understand the question; 8=Can`t choose; 9=Decline to answer
q158,Economic Security,"income loss, family well-being, hypothetical scenario","158 The following is a hypothetical question: If you were unfortunate enough to lose your main source of income, how serious would it be for you and your family?","-1=Missing; 1=It would be serious, and we would have difficulty coping; 2=It would be serious, but we could deal with it; 3=We could manage just fine; 7=Do not understand the question; 8=Can`t choose; 9=Decline to answer"
q159,Economic Perception,"income fairness, effort evaluation, family income","159 Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-4 categories?",-1=Missing; 1=Very fair; 2=Fair; 3=Unfair; 4=Very unfair; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q159a,Economic Perception,"income fairness, effort evaluation, family income","159a Considering all the effort that you and your family members have made in the past, do you think the income that your family currently receives is fair or not fair-6 categories?",-1=Missing; 1=Very fair; 2=Fair; 3=Somewhat fair; 4=Somewhat Unfair; 5=Unfair; 6=Very unfair; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q16,Media Consumption,"newspaper readership, media habits",16 Newspaper,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q160,Social Mobility,"intergenerational comparison, standard of living, social status","160 As compared to my parent's generation, my generation has more or fewer opportunities to improve one's standard of living or social status?",-1=Missing; 1=Substantially more opportunities; 2=More opportunities; 3=About the same; 4=Fewer opportunities; 5=Substantially fewer opportunities; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q161,National Pride,"national identity, citizenship pride, patriotism",161 How proud are you to be a citizen of the country? Are you?,-1=Missing; 1=Very proud; 2=Somewhat proud; 3=Not very proud; 4=Not proud at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q162,Migration Intentions,"migration willingness, country loyalty, international mobility","162 Given the chance, how willing would you be to go and live in another country",-1=Missing; 1=Very willing; 2=Willing; 3=Not willing; 4=Not willing at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q163,Geopolitics,"regional influence, country power, international relations",163 Which country has the most influence in Asia?,"-1=Missing; 1=China; 2=Japan; 3=India; 4=United States; 5=Other [please name]; 6=Taiwan; 7=Singapore; 8=European Union; 9=South Korea; 10=China and Japan; 11=China and India; 12=Australia; 13=Association of Southeast Asian Nations, ASEAN; 14=North Korea; 15=China and United States; 16=Commonwealth of Independent States, CIS; 17=US and Japan; 18=Vietnam; 19=Philippines; 20=Canada; 21=United Arab Emirates/Middle Eastern countries; 22=Malaysia; 23=Hong Kong; 24=Thailand; 25=Russia; 26=Cambodia; 27=Indonesia; 28=New Zealand; 29=Myanmar; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
q164,Geopolitical Perception,"country evaluation, regional impact, moral judgment",164 Does the United States do more good or harm to the region?,-1=Missing; 1=Much more good than harm; 2=Somewhat more good than harm; 3=Somewhat more harm than good; 4=Much more harm than good; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q165,Geopolitical Perception,"country comparison, regional impact, moral judgment",164 Does the United States do more good or harm to the region? 165 Does China do more good or harm to the region?,-1=Missing; 1=Much more good than harm; 2=Somewhat more good than harm; 3=Somewhat more harm than good; 4=Much more harm than good; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q166,Future Influence,"country influence, regional leadership, temporal projection","166 In ten years, which country will have the most influence in Asia?","-1=Missing; 1=China; 2=Japan; 3=India; 4=United States; 5=Other [please name]; 6=Taiwan; 7=Singapore; 8=European Union; 9=South Korea; 10=China and Japan; 11=China and India; 12=Australia; 13=Association of Southeast Asian Nations, ASEAN; 14=North Korea; 15=China and United States; 16=Commonwealth of Independent States, CIS; 17=US and Japan; 18=Vietnam; 19=Philippines; 20=Canada; 21=United Arab Emirates/Middle Eastern countries; 22=Malaysia; 23=Hong Kong; 24=Thailand; 25=Russia; 26=Cambodia; 27=Indonesia; 28=New Zealand; 29=Myanmar; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
q167,Development Model,"country role model, development aspiration, national vision",167 Which country should be a model for our own country's future development?,"-1=Missing; 1=United States; 2=China; 3=India; 4=Japan; 5=Singapore; 6=Other [please name]; 7=We should follow our country's own model; 8=China and Singapore; 9=Japan and Singapore; 10=Germany; 11=Switzerland; 12=South Korea; 13=United States, Japan and Singapore; 14=United States and Japan; 15=Finland; 16=Canada; 17=Netherlands; 18=Sweden; 19=United States and Singapore; 20=Canada and New Zealand; 21=Northern Europe; 22=New Zealand; 23=Bhutan; 24=Vietnam; 25=United Kingdom; 26=Germany and Finland; 27=European countries; 28=Switzerland and Denmark; 29=Taiwan; 30=Indonesia; 31=Saudi Arabia; 32=United Arab Emirates/Middle Esatern countries; 33=Israel; 34=Australia; 35=Norway; 36=France; 37=North Korea; 38=Malaysia; 39=Thailand; 40=Russian; 42=Philippines; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer"
q168,Country Influence,"country influence, national impact, quantitative evaluation",168 How much influence does China have on our country?,-1=Missing; 1=A great deal of influence; 2=Some influence; 3=Not much influence; 4=No influence at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q169,Country Influence,"country influence, national impact, qualitative evaluation","169 General speaking, the influence China has on our country is?",-1=Missing; 1=Very positive; 2=Positive; 3=Somewhat positive; 4=Somewhat negative; 5=Negative; 6=Very negative; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q17,Media Consumption,"media type, exposure, personal experience",17 Television,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q170,Country Influence,"country influence, national impact, quantitative evaluation",170 How much influence does the United States have on our country?,-1=Missing; 1=A great deal of influence; 2=Some influence; 3=Not much influence; 4=No influence at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q171,Country Influence,"country influence, national impact, qualitative evaluation","171 General speaking, the influence the United States has on our country is?",-1=Missing; 1=Very positive; 2=Positive; 3=Somewhat positive; 4=Somewhat negative; 5=Negative; 6=Very negative; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q172,Regional Identity,"regional affiliation, emotional connection, geographical belonging",172 How close do you feel to ASEAN? (ASEAN countries only),-1=Missing; 1=Very close; 2=Close; 3=Not very close; 4=Not close at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q18,Trust in Institutions,"election commission, institutional trust, government",18 The election commission,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q19,Trust in Institutions,"non-government organizations, NGOs, institutional trust",19 Non-government organizations or NGOs,-1=Mssing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q2,Economic Perception,"economic condition, evaluation, temporal comparison, national level",2. How would you dsecribe the change in the economic condition of our country over the last few years?,-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q20,Organizational Affiliation,"organizational membership, affiliation, identity",20. Name of the organization you belong to. First,-1=Missing; 0=Not applicable; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher associations; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations; 18=Other volunteer organizations; 19=Student Associations; 20=Mutual assistance associations; 21=Other; 90=Not a member of any organization or group; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer
q21,Organizational Affiliation,"organizational membership, affiliation, identity",21. Name of the organization you belong to. Second,-1=Missing; 0=Not applicable; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher associations; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations; 18=Other volunteer organizations; 19=Student Associations; 20=Mutual assistance associations; 21=Other; 90=Not a member of any organization or group; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer
q22,Organizational Affiliation,"organizational membership, affiliation, identity",22. Name of the organization that you belong to. Third,-1=Missing; 0=Not applicable; 1=Political parties; 2=Residential & community associations; 3=Religious groups; 4=Sports/recreational clubs; 5=Culture organizations; 6=Charities; 7=Public interest groups; 8=Labor unions; 9=Farmer unions or agricultural associations; 10=Professional organizations; 11=Business associations; 12=Parent-Teacher associations; 13=Producer cooperatives; 14=Consumer cooperatives; 15=Alumni associations; 16=Candidate support organizations; 17=Other occupational organizations; 18=Other volunteer organizations; 19=Student Associations; 20=Mutual assistance associations; 21=Other; 90=Not a member of any organization or group; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer
q23,Social Trust,"social trust, interpersonal trust, caution in relationships","23 Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",-1=Mising; 1=Most people can be trusted; 2=You must be very careful in dealing with people; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q24,Social Trust,"social trust, interpersonal trust, trustworthiness",24. Do you ageee with the statement 'Most people are trustworthy',-1=Mising; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q25,Social Trust,"social trust, interpersonal trust, fairness in relationships","25 Do you think most people would try to take advantage of you if they got a chance, or would they try to be fair?",-1=Missing; 1=Most people would try to take advantage of you if they got a; 2=Most people would try to be fair; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q26,Interpersonal Trust,"interpersonal trust, family relationships, relative trust",26. How much do you trust your relatives?,-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q27,Social Trust,"trust, relatives, neighbors, social relationships",How much do you trust your relatives? Trust your neighbors,-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q28,Social Trust,"trust, relatives, social interactions, social relationships",How much do you trust your relatives? Trust other people you interact with,-1=Missing; 1=A great deal of trust; 2=Quite a lot of trust; 3=Not very much trust; 4=None at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q29,Social Connections,"social network, social interactions, daily life",29. How many people do you have contact within a typical week day?,-1=Missing; 0=Not applicable; 1=0-4 people; 2=5-9 people; 3=10-19 people; 4=20-49 people; 5=50 or more people; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q3,Economic Perception,"economic condition, national level, temporal comparison, future expectations",How would you dsecribe the change in the economic condition of our country over the last few years? What do you think will be the state of our country's economic condition a few years from now?,-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q30,Social Support,"social support, problem management, help-seeking behavior","30. If you have a difficult problem to manage, are there people outside your household you can ask for help?","-1=Missing; 1=No, nobody; 2=Yes, a few; 3=Yes, some; 4=Yes, a lot; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
q31,Social Support,"social support, reciprocity, help-seeking behavior, help-giving behavior","If you have a difficult problem to manage, are there people outside your household you can ask for help? When people outside your household have problems, do they come to you for help?","-1=Missing; 1=No, nobody; 2=Yes, a few; 3=Yes, some; 4=Yes, a lot; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
q32,Social Tolerance,"political tolerance, social interactions, disagreement, conversation","32 If you had friends or co-workers whose opinions on politics differed from yours, would you have a hard time conversing with them?",-1=Missing; 1=Very hard; 2=A bit hard; 3=Not too hard; 4=Not hard at all; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q33,Political Participation,"voting behavior, political engagement, election participation",33 Did you vote in the last national election?,-1=missing; 0=Not applicable/not yet eligible to vote; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q34,Political Preference,"voting choice, party affiliation, candidate support",34 Which parties or candidates did you vote for?,"-1=Missing; 90=Not applicable; 95=Cannot recall; 96=Invalid vote; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer; 101=Liberal Democratic Party; 102=Democratic Party of Japan; 103=Japan Innovation Party; 104=Clean Government Party; 105=Japanese Communist Party; 106=The Party for Future Generations; 107=People's Life Party; 108=Social Democratic Party; 109=Other party; 110=Independent; 201=Democratic Party; 202=Democratic Alliance for the Betterment and Progress of Hong Kong; 203=Liberal Party; 204=Civic Party; 205=Hong Kong Federation of Trade Union; 206=New People's Party; 207=Hong Kong Association for Democracy and People's Livelihood; 208=League of Social Democrats; 209=People Power; 210=Labour Party; 211=NeoDemocrats; 212=Neighnourhood and Worker's Service Center; 213=Other Pan-democratic camp; 214=Other Pro-Beijing camp; 299=Other; 301=Park, Guen-hye; 302=Moon, Jae-in; 299=Other; 501=N.Udval/Mongolian People's Revolutionary Party (MPRP); 502=Ts.Elbegdorj/Democratic Party (DP); 509=B.Bat-erdene/Mongolian People's Party (MPP); 601=Aquino, Benigno Simeon III C. 'Noynoy' (LP); 602=De Los Reyes, John Carlos G. 'JC' (AKP); 603=Estrada Ejercito, Joseph M. 'Erap' (PMP); 604=Gordon, Richard J. 'Dick' (B.Bayan-VNP); 605=Madrigal, Jamby A. S. 'Jamby' (IND); 606=Perlas, Jesus Nicanor P. 'Nick' (IND); 607=Teodoro, Gilberto Jr. C. 'Gibo' (LKS-KAM); 608=Villanueva, Eduardo C. 'Bro. Eddie' (BP); 609=Villar, Manuel Jr. B. 'Manny' (NP); 701=DPP`s candidate; 702=KMT`s candidate; 704=People First Party`s candidate; 801=Democrat party; 802=Phue Thai Party; 803=Bhumi Jai Thai; 804=Chart Thai Pattana Party; 805=Phue Pandin; 806=Ruam jai Thai Pattana; 812=Chart Pattana Phue Pandin; 901=Partai NasDem; 902=PKB; 903=PKS; 904=PDI-Perjuangan; 905=Partai Golkar; 906=Partai Gerindra; 907=Partai Demokrat; 908=PAN; 909=PPP; 910=Partai Hanura; 914=PBB; 915=PKPI; 1001=People's Action Party; 1002=Worker's Party; 1003=Singapore Democratic Party; 1004=National Solidarity Party; 1005=Singapore People's Party; 1201=Cambodian Natioality Party; 1202=FUNCINPEC Party; 1203=Democratic Republic Party; 1204=Cambodian People's Party; 1205=Khmer Economic Development Party; 1206=Cambodian National Rescue Party; 1207=League for Democracy Party; 1301=Barisan Nasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 914=PBB; 1308=SUPP; 1310=People Alliance; 1311=PAS; 1312=DAP; 1313=PKR; 1318=STAR; 1401=Union Solidarity and Development Party (USDP); 1403=National Democratic Force (NDF); 1404=National Unity Party (NUP); 1405=Parties in the respective region; 299=Other; 1407=Arakanese National Party (ANP); 1408=Rakhine national development party ( RNDP); 1409=Myanmar farmers development Party; 1410=Shan Nationality League for Democracy; 1411=Phalon-Sawaw Democratic Party; 1412=Kokang Democratic and unity Party; 1413=Chin National Democracy Party; 1414=Kayan national Party; 1415=88 Generation Student Youths ( Union of Myanmar); 1416=Individual Candidate"
q34a,Political Preference,"voting outcome, winning party, losing party, election result",34a Did the respondent vote for the winning or losing camp?,-1=Missing; 0=Not applicable; 1=Voted for the winning camp; 2=Voted for the losing camp
q35,Political Participation,"campaign meeting, attendance, political engagement",35. Did you attend a campaign meeting or rally?,-1=Missing; 0=Not applicable; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q36,Political Participation,"campaign meeting, persuasion, voting influence",Did you attend a campaign meeting or rally? Try to persudae others to vote for a certain candidate or party?,-1=Missing; 0=Not applicable; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q37,Political Participation,"campaign meeting, volunteering, party support",Did you attend a campaign meeting or rally? Did you do anything else to help out or work for a party or candidate running in the last national election?,-1=Missing; 0=Not applicable; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q38,Election Perception,"election fairness, freedom, national election","38.On the whole, how free and fair would you say the last national election was?","-1=Missing; 0=Not applicable; 1=Completely free and fair; 2=Free and fair, but with minor problems; 3=Free and fair, with major problems; 4=Not free or fair; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer"
q39,Service Accessibility,"identity document, obtaining service, ease of access",39. How easy or difficult to obtain an identity document service,-1=Missing; 0=Not applicable; 1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy; 5=Never tried; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q4,Economic Perception,"family economic situation, current evaluation, personal finance","4. As for your own family, how do you rate the economic situation of your family today?",-1=Missing; 1=Very good; 2=Good; 3=So-so [not good nor bad]; 4=Bad; 5=Very bad; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q40,Service Accessibility,"identity document, public primary school, access to education",How easy or difficult to obtain an identity document service How easy or difficult to obtain a place in a public primirary school for a child,-1=Missing; 0=Not applicable; 1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy; 5=Never tried; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q41,Service Accessibility,"identity document, medical treatment, healthcare access",How easy or difficult to obtain an identity document service How easy or difficult to obtain medical treatment at nearby clinic,-1=Missing; 0=Not applicable; 1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy; 5=Never tried; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q42,Service Accessibility,"identity document, police assistance, public safety",How easy or difficult to obtain an identity document service How easy or difficult to obtain help from the police when you need it,-1=Missing; 0=Not applicable; 1=Very difficult; 2=Difficult; 3=Easy; 4=Very easy; 5=Never tried; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q43,Personal Safety,"city safety, living conditions, personal security",43. How safe is living in this city/ town/ village,-1=Missing; 1=Very safe; 2=Safe; 3=Unsafe; 4=Very unsafe; 7=Do not undertstand the question; 8=Can't choose; 9=Decline to answer
q44,Political Engagement,"political interest, self evaluation, engagement level",44. How interested would you say you are in politics?,-1=Missing; 1=Very interested; 2=Somewhat interested; 3=Not very interested; 4=Not at all interested; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q45,Political Engagement,"news consumption, political information, frequency of engagement",45. How often do you follow news about politics and government?,-1=Missing; 1=Everyday; 2=Several times a week; 3=Once or twice a week; 4=Not even once a week; 5=Practically never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q46,Social Interaction,"social discussion, political topics, frequency of discussion","46. When you get together with your family members or friends, how often do you discuss political matters",-1=Missing; 1=Frequently; 2=Occationally; 3=Never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q47,Digital Accessibility,"internet access, home access, digital connectivity",47. Do you have Internet access at home?,-1=Missing; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q48,Digital Accessibility,"internet access, mobile access, digital connectivity",48. Do you have Internet access on a mobile phone?,-1=Missing; 0=I do not have a cell phone; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q49,Digital Behavior,"internet usage, frequency of use, digital activity",49. How often do you use the internet?,-1=Missing; 0=Not applicable; 1=Several hours a day; 2=About half an hour to an hour a day; 3=At least once a day; 4=At least once a week; 5=At least once a month; 6=A few times a year; 7=Hardly ever; 8=Never; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer
q5,Economic Perception,"economic condition, temporal comparison, family evaluation",5. How would you compare the current economic condition of your family with what it was a few years ago?,-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q50,Digital Behavior,"social media usage, digital platforms, online presence",50. Do you currently use any of the following social media networks?,-1=Missing; 0=Not applicable; 1=Yes; 2=No; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q51,Political Information,"information seeking, political information, digital sources",51. How often do you use the Internet or social media networks to find information about politics and government?,-1=Missing; 0=Not applicable; 1=Everyday; 2=Several times a week; 3=Once or twice a week; 4=A few times a month; 5=A few times a year; 6=Practically never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q52,Political Expression,"opinion expression, political engagement, digital platforms",How often do you use the Internet or social media networks to find information about politics and government? How often do you use the Internet or social media networks to express your opinion about politics and government?,-1=Missing; 0=Not applicable; 1=Everyday; 2=Several times a week; 3=Once or twice a week; 4=A few times a month; 5=A few times a year; 6=Practically never; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q53,Political Affiliation,"political party, affiliation, identification","53.Among the political parties listed here, which party if any do you feel closest to?",-1=Missing; 90=Do not feel close to any party; 97=Do not understand the question; 98=Can't choose; 99=Decline to answer; 101=Liberal Democratic Party; 102=Democratic Party of Japan; 103=Japan Innovation Party; 104=Clean Government Party; 105=Japanese Communist Party; 106=The Party for Future Generations; 107=People's Life Party; 108=Social Democratic Party; 109=Other party; 110=Independent; 111=Initiatives from Osaka; 112=The Party for Japanese Kokoro; 201=Democratic Party; 202=Democratic Alliance for the Betterment and Progress of Hong Kong; 203=Liberal Party; 204=Civic Party; 205=Hong Kong Federation of Trade Union; 206=New People's Party; 207=Hong Kong Association for Democracy and People's Livelihood; 208=League of Social Democrats; 209=People Power; 210=Labour Party; 211=NeoDemocrats; 212=Neighnourhood and Worker's Service Center; 214=The Frontier; 215=Citizens Party; 216=Hong Kong Porgressive Alliance; 217=Pan-democratic; 218=Right Wing; 219=NewDemocrats; 220=Localism camp; 299=Others; 301=Saenuri Party; 302=The New Politics Alliance for Democracy; 303=Justice Party; 501=Mongolian People's Revolutionary party (MPRP); 502=Democratic Party(DP); 503=Civil Courage party (CCP); 508=Other; 509=Mongolian People's Party; 601=Alliance for the Common Good o ang Kapatiran; 602=Akbayan O Citizen's Action Party; 603=Aksyon Demokratiko or Aksyon; 604=Bagumbayan-Volunteers for a New Philippines o Bagumbayan; 605=Bayan Muna; 606=Bangon Pilipinas; 607=Kabalikat ng Malayang Pilipino or Kampi; 608=Kilusang Bagong Lipunan or KBL; 609=Laban ng Demokratikong Pilipino or LDP; 610=Lakas Christian Muslim Democrats or Lakas-CMD; 611=Lakas Kampi-CMD; 612=Liberal Party or LP; 613=Nacionalista Party or NP; 614=Nationalist People's Coalition or NPC; 615=Pwersa ng Masang Pilipino/Partido ng Masang Pilipino or PMP; 616=Partido Demokratiko Pilipino-Lakas ng Bayan or PDP-Laban; 110=Independent; 618=United Nationalist Alliance - Una; 619=Abakada Partylist; 620=Abante Mindanao; 621=Akap Party List; 622=Ako Bikol; 623=An Waray; 624=Anakbayan; 625=Asenso Party List; 626=Butil; 627=Cibac  Party List; 628=Anak Pawis; 629=Buhay Party List; 630=Abang Lingkod; 631=Demokrasya Filipino; 632=Guardian; 633=Kilusang Mayo-Uno; 634=Anac IP-Anac Indigeneous People; 635=Gabriela; 636=ACT-Teacher; 637=United Opposition - UNO; 638=Anak Mindanao; 639=National Unity Party; 640=NUP-APP; 641=PCN- Peoples Champ Movement; 642=Senior Citizen Party; 643=ULAP Partylist; 644=Veterano Party List; 645=Youth Against Corruption Against Poverty; 646=Yakap Party; 701=KMT; 702=DPP; 703=New Party; 704=People First Party; 705=Taiwan Solidarity Union; 706=Green Party; 204=Civic Party; 801=Democrat Party; 802=PhueThai Party; 803=Phumjai Thai Party; 804=Chart Thai Pattana Party; 805=Pheu Pandin Party; 901=Partai NasDem; 902=PKB; 903=PKS; 904=PDI-Perjuangan; 905=Partai Golkar; 906=Partai Gerindra; 907=Partai Demokrat; 908=PAN; 909=PPP; 910=Partai Hanura; 911=PBB; 912=PKPI; 913=Partai Perindo (Persatuan Indonesia); 508=Other; 1001=People's Action Party; 1002=The Workers' Party; 1003=National Solidarity Party; 1004=Singapore Democratic Party; 1005=Singapore People's Party; 1006=other; 1202=FUNCINPEC Party; 1204=Cambodian People's Party; 1207=Cambodian National Rescue Party; 1208=League for Democracy Party; 1301=Barisan Nasional; 1302=UMNO; 1303=MCA; 1304=MIC; 1305=Gerakan; 1306=PBS; 911=PBB; 1308=SUPP; 1309=Other BN party; 1310=People Alliance; 1311=PAS; 1312=DAP; 1313=PKR; 1318=STAR; 1319=PSM; 1401=Union Solidarity and Development Party (USDP); 1402=National League for Democracy ( NLD ); 1403=National Democratic Force ( NDF ); 1404=National Unity Party ( NUP ); 1407=Arakanese National Party; 1408=Rakhine National Development Party
q54,Political Affiliation,"closeness, political party, affinity",54. How close do you feel to (answer in q53)?,-1=Missing; 0=Not applicable; 1=Very close; 2=Somewhat close; 3=Just a little close; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q55,Family Values,"family, personal interests, sacrifice","55 For the sake of the family, the individual should put his personal interests second.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q56,Collectivism,"group interest, individual interest, sacrifice","55 For the sake of the family, the individual should put his personal interests second. In a group, we should sacrifice our individual interest for the sake of the group's collective interest.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q57,National Interest,"national interest, individual interest, sacrifice","55 For the sake of the family, the individual should put his personal interests second. For the sake of national interest, individual interest could be sacrificed.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q58,Interpersonal Relationships,"long-term relationship, immediate interest, prioritization","55 For the sake of the family, the individual should put his personal interests second. When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q59,Interpersonal Relationships,"future planning, immediate interest, balance","55 For the sake of the family, the individual should put his personal interests second. When dealing with others, one should not only focus on immediate interest but also plan for future.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q6,Economic Perception,"economic condition, temporal comparison, family level",How would you compare the current economic condition of your family with what it was a few years ago? What do you think the economic situation of your family will be a few years from now?,-1=Missing; 1=Much better; 2=A little better; 3=About the same; 4=A little worse; 5=Much worse; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q60,Family Values,"filial piety, obedience, parental authority","55 For the sake of the family, the individual should put his personal interests second. Even if parents' demands are unreasonable, children still should do what they ask.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
q61,Family Values,"family conflict, obedience, maternal authority","55 For the sake of the family, the individual should put his personal interests second. When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband should still persuade his wife to obey his mother.",-1=Missing; 1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 7=Do not understand the question; 8=Can't choose; 9=Decline to answer
