variable_id,domain,concepts,question_text,validation_phrase,validation_phrase_occurrences,validation_phrase_score
se008b,Household Demographics,"household structure, family relationships, intergenerational dynamics",household generations,household generations,1,80.0
se009,Economic Perception,"annual income, socioeconomic status, national comparison",annual income: national quintiles,annual income: national,1,100.0
se012a,Employment,"occupation, job type, professional activity",Main Occupation,main occupation,2,28.2842712474619
se012bcn,Employment,"occupation, job classification, career path",OCCUPATION,occupation,8,10.0
se012bhk,Employment,"occupation, job type, original classification",OCCUPATION(original),occupation(original),2,50.0
se012bjp,Employment,"occupation, main job, original classification",main occupation(orginal),main occupation(orginal),1,80.0
se012bkr,Employment,"occupation, job type, original classification",Occupation(original),occupation(original),2,50.0
se012bmo,Employment,"employment status, job situation, occupational activity",employment,employment,1,50.0
se012bph,Unknown,,occupation (verbatim),occupation (verbatim),1,80.0
se012bth,Unknown,,Primary occupation of respondent,primary occupation of,1,100.0
se012btw,Unknown,,(Respondent has a job) What is respondent's current occupation?,(respondent has a,1,100.0
se014,Unknown,,language,language,1,50.0
se016,Unknown,,ethnicity,ethnicity,1,50.0
se017,Unknown,,subjective social status,subjective social status,1,100.0
yrsurvey,Unknown,,survey year,survey year,1,80.0
