variable_id,domain,concepts,question_text,scale_type,scale_points,confidence,needs_reversal,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q63,Social Norms and Family Values,"group harmony, conflict avoidance, social norms","55 For the sake of the family, the individual should put his personal interests second. In a group, we should avoid open quarrel to preserve the harmony of the group.",likert_4,4,0.8,False,"group, we should avoid open",1,132.0
q64,Social Norms and Family Values,"conflict avoidance, social norms, disagreement resolution","55 For the sake of the family, the individual should put his personal interests second. Even if there is some disagreement with others, one should avoid the conflict.",likert_4,4,0.8,False,interests second. even if there,1,132.0
q65,Social Norms and Family Values,"cooperation, opinion formation, group dynamics","55 For the sake of the family, the individual should put his personal interests second. A person should not insist on his own opinion if his co-workers disagree with him.",likert_4,4,0.8,False,personal interests second. a person,1,132.0
q66,Fatalism and Determinism,"fate, determinism, free will","55 For the sake of the family, the individual should put his personal interests second. Wealth and poverty, success and failure are all determined by fate.",likert_4,4,0.8,False,his personal interests second. wealth,1,132.0
q67,Social Norms and Family Values,"gender preference, family planning, child preference","55 For the sake of the family, the individual should put his personal interests second. If one could have only one child, it is more preferable to have a boy than a girl.",likert_4,4,0.8,False,his personal interests second. if,1,132.0
q68,Social Norms and Family Values,"short-term vs long-term thinking, self-interest, social responsibility","55 For the sake of the family, the individual should put his personal interests second. When dealing with others, one should not be preoccupied with temporary gains and losses.",likert_4,4,0.8,False,"others, one should not be",1,132.0
q69,Citizen Engagement and Participation,"citizen engagement, government contact, representation","69 In the past three years, have you ever contacted elected officials or legislative representatives at any level-3 categories",likert_3,3,0.8,False,69 in the past three,1,132.0
q69a,Citizen Engagement and Participation,"citizen engagement, government contact, representation","69a In the past three years, have you ever contacted elected officials or legislative representatives at any level-4 categories",likert_4,4,0.8,False,69a in the past three,1,132.0
q7,Trust in Government,"trust, executive office, government",7 Trust in the excutive office (president or prime minister),likert_4,4,0.8,True,7 trust in the excutive,1,132.0
q70,Service Accessibility,"contacting officials, officials level, evaluation",70  Contacted officials at higher level-3 categories.,likert_3,3,0.8,False,70 contacted officials at higher,1,132.0
q70a,Service Accessibility,"contacting officials, officials level, evaluation",70a  Contacted officials at higher level--4 categories.,likert_4,4,0.8,False,70a contacted officials at higher,1,132.0
q71,Community Engagement,"traditional leaders, community leaders, evaluation",71 Contacted traditional leaders/community leaders-3 categories,likert_3,3,0.8,False,71 contacted traditional leaders/community leaders-3,1,132.0
q71a,Community Engagement,"traditional leaders, community leaders, evaluation",71a Contacted traditional leaders/community leaders-4 categories,likert_4,4,0.8,False,71a contacted traditional leaders/community leaders-4,1,132.0
q72,Social Influence,"influential people, outside government, evaluation",72  Contacted other influential people outside the government-3 categories.,likert_3,3,0.8,False,72 contacted other influential people,1,132.0
q72a,Social Influence,"influential people, outside government, evaluation",72a  Contacted other influential people outside the government-4 categories.,likert_4,4,0.8,False,72a contacted other influential people,1,132.0
q73,Information Accessibility,"news media, evaluation",73  Contacted news media-3 categories,likert_3,3,0.8,False,73 contacted news media-3 categories,1,132.0
q73a,Information Accessibility,"news media, evaluation",73a  Contacted news media-4 categories,likert_4,4,0.8,False,73a contacted news media-4 categories,1,132.0
q74,Community Engagement,"community problem resolution, evaluation",74 Whether you personally have ever got together with others to try to resolve local problems-3 categories,likert_3,3,0.8,False,74 whether you personally have,1,132.0
q74a,Community Engagement,"community problem resolution, evaluation",74a Whether you personally have ever got together with others to try to resolve local problems-4 categories,likert_4,4,0.8,False,74a whether you personally have,1,132.0
q75,Political Participation,"community mobilization, petition signing, collective action",75 Got together with others to raise an issue or sign a petition-3 categories,likert_3,3,0.8,False,75 got together with others,1,132.0
q75a,Political Participation,"community mobilization, petition signing, collective action, issue raising",75a Got together with others to raise an issue or sign a petition-4 categories,likert_4,4,0.8,False,75a got together with others,1,132.0
q76,Political Participation,"demonstration, protest, public assembly",76 Attended a demonstration or protest march-3 categories,likert_3,3,0.8,False,76 attended a demonstration or,1,132.0
q76a,Political Participation,"demonstration, protest, public assembly, civil disobedience",76a Attended a demonstration or protest march-4 categories,likert_4,4,0.8,False,76a attended a demonstration or,1,132.0
q77,Political Extremism,"violence, extremism, political action",77 Used force or violence for a political cause-3 categories,likert_3,3,0.8,False,77 used force or violence,1,132.0
q77a,Political Extremism,"violence, extremism, political action, radicalism",77a Used force or violence for a political cause-4 categories,likert_4,4,0.8,False,77a used force or violence,1,132.0
q78,Voting Behavior,"voting history, eligibility, self-description","78 Thinking of whether you voted or not ever since you became eligible for voting, how would you describe yourself?",likert_4,4,0.8,False,78 thinking of whether you,1,132.0
q79,Political Attitudes,"statement agreement, opinion, evaluation",79. Which of the following statements do you agree with most?,binary,2,0.8,False,79. which of the following,1,132.0
q79a,Political Attitudes,"statement agreement, opinion, evaluation, intensity of agreement",79a. Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,79a. do you strongly agree,1,132.0
q8,Justice System,"courts, judicial system, legal institution",8 The courts,likert_4,4,0.8,True,8 the courts,1,132.0
q80,Trust in Government,"evaluation, temporal comparison, agreement",80. which of the following statements do you agree with most?,binary,2,0.8,False,80. which of the following,1,132.0
q80a,Trust in Government,strength of agreement,80a. Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,80a. do you strongly agree,1,132.0
q81,Trust in Government,"evaluation, temporal comparison, agreement",81. which of the following statements do you agree with most?,binary,2,0.8,False,81. which of the following,1,132.0
q81a,Trust in Government,strength of agreement,81a. Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,81a. do you strongly agree,1,132.0
q82,Trust in Government,"evaluation, temporal comparison, agreement",82. which of the following statements do you agree with most?,binary,2,0.8,False,82. which of the following,1,132.0
q82a,Trust in Government,strength of agreement,82a. Do you strongly agree or just agree with the chosen statement?,binary,2,0.8,False,82a. do you strongly agree,1,132.0
q83,Trust in Government,"government capability, problem-solving, long-term perspective","83. Over the long run, our system of government is capable of solving the problems our country faces",likert_4,4,0.8,False,"83. over the long run,",1,132.0
q84,Trust in Government,"government capability, problem-solving, long-term perspective, patriotism","Over the long run, our system of government is capable of solving the problems our country faces Thinking in general, I am proud of our system of government",likert_4,4,0.8,False,problems our country faces thinking,1,132.0
q85,Trust in Government,"government capability, problem-solving, long-term perspective, support","Over the long run, our system of government is capable of solving the problems our country faces 85 A system like ours, even if it runs into problems, deserves the people's support",likert_4,4,0.8,False,problems our country faces 85,1,132.0
q86,Trust in Government,"government preference, system evaluation","Over the long run, our system of government is capable of solving the problems our country faces I would rather live under our system of government than any other that I can think of",likert_4,4,0.8,False,problems our country faces i,1,132.0
q87,Trust in Government,"government system, evaluation, change","87. would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",likert_4,4,0.8,False,87. would you say our,1,132.0
q88,Concept of Democracy,"democracy, characteristics, evaluation",88  which one would you choose as the most essential characteristics of a democracy?,likert_4,4,0.8,False,88 which one would you,1,132.0
q89,Concept of Democracy,"democracy, characteristics, evaluation",89. which one would you choose as the most essential characteristics of a democracy?,likert_4,4,0.8,False,89. which one would you,1,132.0
q9,Government Structure,"national government, location",9 National government in the capital city,likert_4,4,0.8,True,national government in the capital,1,132.0
q90,Concept of Democracy,"democracy, characteristics, evaluation",90. which one would you choose as the most essential characteristics of a democracy?,likert_4,4,0.8,False,90. which one would you,1,132.0
q91,Concept of Democracy,"democracy, characteristics, evaluation",91. which one would you choose as the most essential characteristics of a democracy?,likert_4,4,0.8,False,91. which one would you,1,132.0
q92,Satisfaction with Democracy,"democracy, evaluation, satisfaction","92 On the whole, how satisfied or dissatisfied are you with the way democracy works in the country?",likert_4,4,0.8,False,"92 on the whole, how",1,132.0
q93,Perception of Democracy,"democracy, evaluation, degree",93. In your opinion how much of a democracy is the country?,likert_4,4,0.8,False,93. in your opinion how,1,132.0
q94,Economic Perception,"country's position, evaluation, current",94 Where would you place our country under the present government?,scale_10,10,0.8,False,94 where would you place,3,25.403411844343534
q95,Economic Perception,"country's position, evaluation, temporal comparison",94 Where would you place our country under the present government? 95 Where would you place our country ten years ago?,scale_10,10,0.8,False,under the present government? 95,1,132.0
q96,Economic Perception,"economic condition, national level, temporal comparison, evaluation",94 Where would you place our country under the present government? 96 Where would you expect our country to be ten years from now?,scale_10,10,0.8,False,under the present government? 96,1,132.0
q97,Political Perception,"democracy, suitability",97 Whether you think democracy is suitable for our country,scale_10,10,0.8,False,97 whether you think democracy,1,132.0
q98,Trust in Government,government satisfaction,98 How satisfied or dissatisfied are you with the current government?,likert_4,4,0.8,False,98 how satisfied or dissatisfied,1,132.0
q99,Service Accessibility,"problem identification, priority",99 What are the first most important problems facing this country? 1st,categorical,40,0.8,False,99 what are the first,1,132.0
q99a,Service Accessibility,"problem identification, priority",99a. What are the second most important problems facing this country? 2nd,categorical,40,0.8,False,99a. what are the second,1,132.0
q99b,Service Accessibility,"problem identification, priority",What are the second most important problems facing this country? What are the third most important problems facing this country? 3rd,categorical,40,0.8,False,problems facing this country? what,1,132.0
se10,Economic Status,"employment status, household role",se10.  Are you the main earner in your household?,binary,2,0.8,True,se10. are you the main,1,132.0
se10_1,Economic Status,employment status,se10_1 Is the main earner in your household currently employed?,binary,2,0.8,False,se10_1 is the main earner,1,132.0
se10a,Economic Status,employment type,"se10a Is he or she curently self-employed, working in family business or working for an outside employer?",likert_4,4,0.8,False,se10a is he or she,1,132.0
se10b,Economic Status,business size,se10b How many people does his or her business employ?,likert_3,3,0.8,False,se10b how many people does,1,132.0
se10c,Unknown,,se10c What is his/her job title (ISCO code),unknown,0,0.0,False,se10c what is his/her job,1,132.0
se10c_2,Unknown,,se10c_2 What is his/her job title (EGP class),scale_10,10,0.8,False,se10c_2 what is his/her job,1,132.0
se10c_3,Unknown,,se10c_3 Extended application. Elite vs. Mass,binary,2,0.8,False,se10c_3 extended application. elite vs.,1,132.0
se10c_4,Unknown,,se10c_4 Extended applicable. White vs. blue collar,binary,2,0.8,False,se10c_4 extended applicable. white vs.,1,132.0
se10d,Unknown,,se10d Is he or she currently seeking employment?,likert_3,3,0.8,True,se10d is he or she,1,132.0
se10e,Unknown,,se10e What is his or her current status?,likert_6,6,0.8,False,se10e what is his or,1,132.0
se11,Unknown,,se11 What language do you speak the most in the home?,likert_6,6,0.8,False,se11 what language do you,1,132.0
se11a,Unknown,,se11a What is your racial or ethnic background,categorical,110,0.8,False,se11a what is your racial,1,132.0
se12,Unknown,,se12 Where would you place your family on the following scale? -10 scales,scale_10,10,0.8,False,following scale? -10 scales,1,132.0
se12a,Unknown,,se12 Where would you place your family on the following scale? -5 scales,likert_5,5,0.8,False,following scale? -5 scales,1,132.0
se13a,Unknown,,se13a Where would you put yourself on this staircase?,scale_10,10,0.8,False,se13a where would you put,3,25.403411844343534
se13b,Unknown,,se13a Where would you put yourself on this staircase? se13b Where would you put your parents on this staircase?,scale_10,10,0.8,False,yourself on this staircase? se13b,1,132.0
se13c,Unknown,,se13a Where would you put yourself on this staircase? se13c Where would you put your children on this staircase?,scale_10,10,0.8,False,yourself on this staircase? se13c,1,132.0
se14,Unknown,,se14 Annual or monthly household income,likert_5,5,0.8,False,se14 annual or monthly household,1,132.0
se14a,Unknown,,se14a Does the total income of your household allow you to satisfactorily cover your needs?,likert_3,3,0.8,False,se14a does the total income,1,132.0
se15a,Unknown,,se15a Do your family own the following? Car/Jeep,binary,2,0.8,True,se15a do your family own,1,132.0
se15a_1,Unknown,,se15a_1 How many?,unknown,0,0.0,False,se15a_1 how many?,1,132.0
se15b,Unknown,,se15b Tractor,binary,2,0.8,True,se15b tractor,1,92.4
se15c,Unknown,,se15c Color or B/W television,binary,2,0.8,True,se15c color or b/w television,1,132.0
se15d,Unknown,,se15d Cable TV,binary,2,0.8,True,se15d cable tv,1,132.0
se15e,Unknown,,se15e Scooter/motorcycle/moped,binary,2,0.8,True,se15e scooter/motorcycle/moped,1,92.4
se15f,Unknown,,se15f Telephone,binary,2,0.8,True,se15f telephone,1,92.4
se15g,Unknown,,se15g Mobile phone,binary,2,0.8,True,se15g mobile phone,1,132.0
se15h,Unknown,,se15h Electric fan/cooler,binary,2,0.8,True,se15h electric fan/cooler,1,132.0
se15i,Unknown,,se15i Bicycle,binary,2,0.8,True,se15i bicycle,1,92.4
se15j,Unknown,,se15j Radio/transistor,binary,2,0.8,True,se15j radio/transistor,1,92.4
se15k,Unknown,,se15k pumping set,binary,2,0.8,True,se15k pumping set,1,132.0
se15l,Unknown,,se15l Fridge,binary,2,0.8,True,se15l fridge,1,92.4
se15m,Unknown,,se15m Camera,binary,2,0.8,True,se15m camera,1,92.4
se15n,Unknown,,se15n Goats/sheep,binary,2,0.8,True,se15n goats/sheep,1,92.4
se15n_1,Unknown,,se15n_1 How many,unknown,0,0.0,False,se15n_1 how many,1,132.0
se15o,Unknown,,se15o Cows/Buffalo,binary,2,0.8,True,se15o cows/buffalo,1,92.4
se15o_1,Unknown,,se15o_1 How many?,unknown,0,0.0,False,se15o_1 how many?,1,132.0
se2,Unknown,,se2 Gender,binary,2,0.8,False,se2 gender,1,92.4
se3_1,Unknown,,se3_1 Birth year,unknown,0,0.0,False,se3_1 birth year,1,132.0
se3_2,Unknown,,se3_2 Actual age,unknown,0,0.0,False,se3_2 actual age,1,132.0
se4,Unknown,,se4 Marital Status,likert_5,5,0.8,False,se4 marital status,1,132.0
se5,Unknown,,se5 Education,scale_10,11,0.8,False,se5 education,1,92.4
se5a,Unknown,,se5a How many year of formal education have you received,unknown,0,0.0,False,how many year of formal,1,132.0
se6,Unknown,,se6 Religion,categorical,30,0.8,False,se6 religion,1,92.4
se7,Religious Beliefs,"religiosity, personal belief",se7 Religiosity,scale_10,10,0.8,False,se7 religiosity,1,92.4
se7a,Religious Beliefs,"self-description, religious level","se7a Would you describe yourself as very religious, moderately religious, lightly religious, not religious at all?",likert_4,4,0.8,False,se7a would you describe yourself,1,132.0
se8a,Household Composition,"household size, demographic data",se8a How many people live in this household?,unknown,0,0.0,False,se8a how many people live,1,132.0
se8b,Household Composition,"family relationships, intergenerational dynamics",se8b How many generations of family members live in this household?,likert_4,4,0.8,False,how many generations of family,1,132.0
se8c,Household Composition,"household members, residential status","se8c INCLUDE servants, transients/boarders",unknown,0,0.0,False,"se8c include servants, transients/boarders",1,132.0
se8d,Household Composition,"household members, residential status","se8d EXCLUDE servants, transients/boarders",unknown,0,0.0,False,"se8d exclude servants, transients/boarders",1,132.0
se9,Employment Status,"employment status, current employment",se9 Are you current employed?,binary,2,0.8,False,se9 are you current employed?,1,132.0
se9a,Employment Status,"employment type, self-employment","se9a Are you current self-employed, working in a family business or an outside employer?",likert_4,4,0.8,False,"se9a are you current self-employed,",1,132.0
se9b,Employment Status,"business size, employment scale",se9b How many people does your business employ?,likert_3,3,0.8,False,se9b how many people does,1,132.0
se9c,Employment Status,"job characteristics, professional role",se9c What is your job title (ISCO code),unknown,0,0.0,False,se9c what is your job,1,132.0
se9c_2,Unknown,,se9c_2 What is your job title (EGP class),scale_10,10,0.8,False,se9c_2 what is your job,1,132.0
se9c_3,Unknown,,se9c_3 Extended application. Elite vs. Mass,binary,2,0.8,False,se9c_3 extended application. elite vs.,1,132.0
se9c_4,Unknown,,se9c_4 Extended applicable. White vs. blue collar,binary,2,0.8,False,se9c_4 extended applicable. white vs.,1,132.0
se9d,Unknown,,se9d Are you currently seeking employment?,likert_3,3,0.8,True,se9d are you currently seeking,1,132.0
se9e,Unknown,,se9e What is your current status?,likert_6,6,0.8,False,se9e what is your current,1,132.0
year,Unknown,,Interview year,unknown,0,0.0,False,interview year,1,92.4
