variable_id,domain,concepts,question_text,value_labels,scale_type,scale_points,confidence,needs_reversal,first_na_value,max_substantive_value,validation_phrase,validation_phrase_occurrences,validation_phrase_score
q066,Social Norms and Conflict Resolution,"conflict resolution, accommodation, neighborhood relationships","Even if parents' demands are unreasonable, children still should do what they ask? When one has a conflict with a neighbor, the best way to deal with it is to accommodate the other person?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,what they ask? when one,1,132.0
q067,Fate and Destiny,"fate, destiny, determinism","Even if parents' demands are unreasonable, children still should do what they ask? Wealth and poverty, success and failure are all determined by fate?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,do what they ask? wealth,1,132.0
q068,Professionalism and Teamwork,"professionalism, teamwork, opinion leadership","Even if parents' demands are unreasonable, children still should do what they ask? A person should not insist on his own opinion if his co-workers disagree with him?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,what they ask? a person,1,132.0
q069,Family and Personal Interests,"family relationships, personal interests, sacrifice","Even if parents' demands are unreasonable, children still should do what they ask? For the sake of the family, the individual should put his personal interests second?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,they ask? for the sake,1,132.0
q070,Social Norms and Workplace,"workplace relationships, gender roles, supervision","Even if parents' demands are unreasonable, children still should do what they ask? A man will lose face if he works under a female supervisor?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,what they ask? a man,1,132.0
q071,Social Norms and Conflict Resolution,"conflict resolution, elders, dispute resolution","Even if parents' demands are unreasonable, children still should do what they ask? If there is a quarrel, we should ask an elder to resolve the dispute?",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,do what they ask? if,1,132.0
q072,Social Norms and Family,"family relationships, in-law relationships, conflict resolution","Even if parents' demands are unreasonable, children still should do what they ask? When a mother-in-law and a daughter-in-law come into conflict, even if the mother-in-law is in the wrong, the husband sh",1=Strongly agree; 2=Somewhat agree; 3=Somewhat disagree; 4=Strongly disagree; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,they ask? when a mother-in-law,1,132.0
q073,Citizen Participation,"government official, opinion expression",Contacted any government official to express your opinions?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,any government official to express,8,5.833630944789017
q074,Citizen Participation,"government official, opinion expression, hierarchical level",Contacted any government official to express your opinions? Contacted officials to express your opinions at higher level?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted officials,1,132.0
q075,Citizen Participation,"government official, opinion expression, legislative representative",Contacted any government official to express your opinions? contacted elected legislative representatives at any level?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted elected,1,132.0
q076,Citizen Participation,"government official, opinion expression, political organization",Contacted any government official to express your opinions? Contacted political parties or other political organizations?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted political,1,132.0
q077,Citizen Participation,"government official, opinion expression, civil society organization",Contacted any government official to express your opinions? Contacted non-government/civil society organizations?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted non-government/civil,1,132.0
q078,Citizen Participation,"government official, opinion expression, media",Contacted any government official to express your opinions? Contacted media to comment on something?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted media,1,132.0
q079,Citizen Participation,"government official, opinion expression, protest","Contacted any government official to express your opinions? Demonstrated, striken, or sat-in for something?",1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,"express your opinions? demonstrated, striken,",1,132.0
q080,Citizen Participation,"government official, opinion expression, social interaction",Contacted any government official to express your opinions? Contacted other people?,1=Once; 2=More than once; 9=Never done; 97=Not Applicable; 98=don't know; 99=No Answer,ordinal,3,0.5,False,97,9,express your opinions? contacted other,1,132.0
q081,Citizen Participation,"government official, opinion expression, social interaction, alone or with others",Did you do this alone or with others?_contacted government official,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,this alone or with others?_contacted,16,2.0625
q082,Citizen Participation,"government official, opinion expression, hierarchical level, alone or with others",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted officials at higher level,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_contacted officials,1,132.0
q083,Service Accessibility,"social interaction, collaboration, government official",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted elected legislative representatives at any level,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_contacted elected,1,132.0
q084,Service Accessibility,"social interaction, collaboration, political organization",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted political parties or other political organizations,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_contacted political,1,132.0
q085,Service Accessibility,"social interaction, collaboration, civil society",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_ contacted non-government/civil society organizations,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_ contacted,1,132.0
q086,Service Accessibility,"social interaction, collaboration, media",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted media,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_contacted media,1,132.0
q087,Service Accessibility,"social interaction, collaboration, public protest","Did you do this alone or with others?_contacted government official Did you do this alone or with others?_demonstration, strike, sit-in",1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,"this alone or with others?_demonstration,",1,132.0
q088,Service Accessibility,"social interaction, collaboration, personal network",Did you do this alone or with others?_contacted government official Did you do this alone or with others?_contacted other people,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,alone or with others?_contacted other,1,132.0
q089,Corruption Perception,"gift giving, corruption, government official",Did you do this alone or with others?_contacted government official Gift or dinner_contacted government,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted government,1,132.0
q090,Corruption Perception,"gift giving, corruption, official hierarchy",Did you do this alone or with others?_contacted government official Gift or dinner_contacted officials at highter level,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted officials,1,132.0
q091,Corruption Perception,"gift giving, corruption, government official",Did you do this alone or with others?_contacted government official Gift or dinner_contacted elected legislative representatives,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted elected,1,132.0
q092,Corruption Perception,"gift giving, corruption, political organization",Did you do this alone or with others?_contacted government official Gift or dinner_contacted political parties or other political organizations,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted political,1,132.0
q093,Service Accessibility,"social interaction, cooperation, government official interaction",Did you do this alone or with others?_contacted government official Gift or dinner_contacted non-goverment/civil society organizations,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted non-goverment/civil,1,132.0
q094,Service Accessibility,"social interaction, cooperation, media interaction",Did you do this alone or with others?_contacted government official Gift or dinner_contacted media,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted media,1,132.0
q095,Service Accessibility,"social interaction, cooperation, protest interaction","Did you do this alone or with others?_contacted government official Gift or dinner_demonstration, strike, sit-in",1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,"government official gift or dinner_demonstration,",1,132.0
q096,Service Accessibility,"social interaction, cooperation, general people interaction",Did you do this alone or with others?_contacted government official Gift or dinner_contacted other people,1=No; 2=Yes(with others); 97=Not applicable; 98=don't know; 99=No answer,binary,2,0.8,False,97,2,official gift or dinner_contacted other,1,132.0
q097_1,Political Perception,"democracy, evaluation, importance",MEANING OF DEMOCRACY FIRST,"1=Evaluation; 2=Freedom; 3=Scepticism; 4=Instability/Worry; 5=Material Wellbeing; 6=Election; 7=General Democratic Ideals(The general interest); 8=Rights; 9=Don't Understand/Indifferent; 10=DP/Democratic Camp; 11=Democracy is good; 12=Eqality; 13=Openness,Transparency; 14=Conditional Support; 15=Tolerance,Diversity,Criticism and opposition; 16=Participation; 17=Consultation,Public opinion; 18=Majority rule; 19=Other Democratic attributes; 22=Overseas Referents; 23=Others; 24=Unclassifiable; 25=Government by Consent; 26=Democratic Centralism; 27=Minority should follow/obey majority; 28=Leadership of the CCP; 29=Obey law; 30=Unit the opinion of masses; 31=Collective interests over individual interests; 32=Moral Obligation; 33=People support/obey the CCP; 34=One party; 35=Obey the authority; 29=Obey law; 37=No Split of the country; 40=Mutual consultation in decision making; 41=Leaders allow people to express their opinion; 42=State empower people in the society; 43=Represent people's interests; 50=People monitor government /government officials; 51=Democratic evaluation of cadres; 60=Happiness of people; 70=Free from government control; 71=Contrary to Centralism; 95=Don't care; 96=There is no democracy in our country; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 124=people enjoy power to manage the country; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 135=Serving the People; 136=Listen to people's opinions; 137=Respect people's rights; 138=Mass Line; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 141=No dictator; 144=No Bully; 200=In terms of some key elements of liberal democracy; 210=Freedom and Civil Liberty; 211=Freedom in general; 212=Freedom of speech/press/expression; 213=Freedom of association; 214=Political liberty; 215=Protection of individual/human rights; 216=Freedom from government repression; 217=Freedom of participation; 218=Freedom of belief; 219=Freedom of individual choice; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Parliament; 233=Separation of power or check-and-balance; 234=Competitive party system; 235=Power rotation; 236=Rule of law; 237=Independent judicial; 18=Majority rule; 239=Respect for minority rights; 250=Participation and Citizen Empowerment; 251=Ability to change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=right to be elected; 260=Social Pluralism; 261=Open society; 262=Pluralist society; 300=Interpreting democracy in terms of socioeconomic system; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Right of citizen to work; 317=Right of citizen to be educated; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=equality in general; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare; 334=Taking good care of the weak; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honesty; 412=Responsible; 413=Openness or transparent government; 414=Fair treatment; 415=Efficiency; 416=No corruption; 417=Law-biding government /rule by law; 418=Social stability; 419=Law and order; 420=Reform in General; 421=Political reform; 422=Economic reform; 430=Reduce burden; 431=People's livelihood; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Mutual respect; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 540=Trust; 541=Trust government; 542=Trust government institutions; 543=Trust people; 550=-1; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization local self-government; 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Development of elite; 625=Individual less important than nation; 626=Unity of the country; 630=Stable and Cohesive Society; 631=Patriotism; 632=Solidarity; 633=Harmony; 634=No chaos, anarchy or disorder; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 643=Economic development; 644=Better life for people; 650=Ethnicity; 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Economic condition; 723=Level education; 724=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests, the worst system; 828=Does not exist; 829=We cannot have democracy; 840=Positive Appraisal of Own Country's Democracy?; 850=Negative Appraisal of Own Country's Democracy?; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan; 912=Not like North Korea; 920=Political figures; 921=Political parties or groups; 922=Other associations state, politics, society",categorical,44,0.8,False,95,71,meaning of democracy first,1,132.0
q097_2,Political Perception,"democracy, evaluation, importance",MEANING OF DEMOCRACY SECOND,"1=Evaluation; 2=Freedom; 3=Scepticism; 4=Instability/Worry; 5=Material Wellbeing; 6=Election; 7=General Democratic Ideals(The general interest); 8=Rights; 9=Don't Understand/Indifferent; 10=DP/Democratic Camp; 11=Democracy is good; 12=Eqality; 13=Openness,Transparency; 14=Conditional Support; 15=Tolerance,Diversity,Criticism and opposition; 16=Participation; 17=Consultation,Public opinion; 18=Majority rule; 19=Other Democratic attributes; 22=Overseas Referents; 23=Others; 24=Unclassifiable; 25=Government by Consent; 26=Democratic Centralism; 27=Minority should follow/obey majority; 28=Leadership of the CCP; 29=Obey law; 30=Unit the opinion of masses; 31=Collective interests over individual interests; 32=Moral Obligation; 33=People support/obey the CCP; 34=One party; 35=Obey the authority; 29=Obey law; 37=No Split of the country; 40=Mutual consultation in decision making; 41=Leaders allow people to express their opinion; 42=State empower people in the society; 43=Represent people's interests; 50=People monitor government /government officials; 51=Democratic evaluation of cadres; 60=Happiness of people; 70=Free from government control; 71=Contrary to Centralism; 95=Don't care; 96=There is no democracy in our country; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 124=people enjoy power to manage the country; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 135=Serving the People; 136=Listen to people's opinions; 137=Respect people's rights; 138=Mass Line; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 141=No dictator; 144=No Bully; 200=In terms of some key elements of liberal democracy; 210=Freedom and Civil Liberty; 211=Freedom in general; 212=Freedom of speech/press/expression; 213=Freedom of association; 214=Political liberty; 215=Protection of individual/human rights; 216=Freedom from government repression; 217=Freedom of participation; 218=Freedom of belief; 219=Freedom of individual choice; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Parliament; 233=Separation of power or check-and-balance; 234=Competitive party system; 235=Power rotation; 236=Rule of law; 237=Independent judicial; 18=Majority rule; 239=Respect for minority rights; 250=Participation and Citizen Empowerment; 251=Ability to change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=right to be elected; 260=Social Pluralism; 261=Open society; 262=Pluralist society; 300=Interpreting democracy in terms of socioeconomic system; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Right of citizen to work; 317=Right of citizen to be educated; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=equality in general; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare; 334=Taking good care of the weak; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honesty; 412=Responsible; 413=Openness or transparent government; 414=Fair treatment; 415=Efficiency; 416=No corruption; 417=Law-biding government /rule by law; 418=Social stability; 419=Law and order; 420=Reform in General; 421=Political reform; 422=Economic reform; 430=Reduce burden; 431=People's livelihood; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Mutual respect; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 540=Trust; 541=Trust government; 542=Trust government institutions; 543=Trust people; 550=-1; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization local self-government; 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Development of elite; 625=Individual less important than nation; 626=Unity of the country; 630=Stable and Cohesive Society; 631=Patriotism; 632=Solidarity; 633=Harmony; 634=No chaos, anarchy or disorder; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 643=Economic development; 644=Better life for people; 650=Ethnicity; 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Economic condition; 723=Level education; 724=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests, the worst system; 828=Does not exist; 829=We cannot have democracy; 840=Positive Appraisal of Own Country's Democracy?; 850=Negative Appraisal of Own Country's Democracy?; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan; 912=Not like North Korea; 920=Political figures; 921=Political parties or groups; 922=Other associations state, politics, society",categorical,44,0.8,False,95,71,meaning of democracy second,1,132.0
q097_3,Political Perception,"democracy, evaluation, importance",MEANING OF DEMOCRACY THIRD,"1=Evaluation; 2=Freedom; 3=Scepticism; 4=Instability/Worry; 5=Material Wellbeing; 6=Election; 7=General Democratic Ideals(The general interest); 8=Rights; 9=Don't Understand/Indifferent; 10=DP/Democratic Camp; 11=Democracy is good; 12=Eqality; 13=Openness,Transparency; 14=Conditional Support; 15=Tolerance,Diversity,Criticism and opposition; 16=Participation; 17=Consultation,Public opinion; 18=Majority rule; 19=Other Democratic attributes; 22=Overseas Referents; 23=Others; 24=Unclassifiable; 25=Government by Consent; 26=Democratic Centralism; 27=Minority should follow/obey majority; 28=Leadership of the CCP; 29=Obey law; 30=Unit the opinion of masses; 31=Collective interests over individual interests; 32=Moral Obligation; 33=People support/obey the CCP; 34=One party; 35=Obey the authority; 29=Obey law; 37=No Split of the country; 40=Mutual consultation in decision making; 41=Leaders allow people to express their opinion; 42=State empower people in the society; 43=Represent people's interests; 50=People monitor government /government officials; 51=Democratic evaluation of cadres; 60=Happiness of people; 70=Free from government control; 71=Contrary to Centralism; 95=Don't care; 96=There is no democracy in our country; 97=No substance in answer; 98=Don't know; 99=No Response; 100=Interpreting democracy in generic terms; 110=Popular sovereignty; 111=Government of the people; 120=Government by the People; 121=People as their own master; 122=Power of the people; 124=people enjoy power to manage the country; 130=Government for the People; 131=Putting people's interest first; 132=Care for people; 133=Responsive to people's need; 134=Governing in the interest of general welfare; 135=Serving the People; 136=Listen to people's opinions; 137=Respect people's rights; 138=Mass Line; 140=Absence of non-democratic arrangements; 141=No dictator; 142=No repression; 141=No dictator; 144=No Bully; 200=In terms of some key elements of liberal democracy; 210=Freedom and Civil Liberty; 211=Freedom in general; 212=Freedom of speech/press/expression; 213=Freedom of association; 214=Political liberty; 215=Protection of individual/human rights; 216=Freedom from government repression; 217=Freedom of participation; 218=Freedom of belief; 219=Freedom of individual choice; 220=Political Equality; 221=One man one vote; 222=Equality before the law/justice; 223=Non discrimination; 230=Democratic Institutions and Process; 231=Election, popular vote or electoral choice; 232=Parliament; 233=Separation of power or check-and-balance; 234=Competitive party system; 235=Power rotation; 236=Rule of law; 237=Independent judicial; 18=Majority rule; 239=Respect for minority rights; 250=Participation and Citizen Empowerment; 251=Ability to change government; 252=Voting; 253=Direct participation; 254=Demonstration; 255=Voice one's concern; 256=right to be elected; 260=Social Pluralism; 261=Open society; 262=Pluralist society; 300=Interpreting democracy in terms of socioeconomic system; 310=Free Economy; 311=Free market; 312=Private properties/ownership; 313=Free and fair competition; 314=Personal economic opportunities; 315=No central planning; 316=Right of citizen to work; 317=Right of citizen to be educated; 320=Equality, Justice or Fraternity; 321=Social equality; 322=Social justice; 323=Fraternity; 324=Equality of opportunities; 325=Social rights or social entitlements; 326=Welfare state; 327=Socialism; 328=Worker participation; 329=equality in general; 330=Socio-Economic Performance; 331=Solve unemployment; 332=Find anyone a job; 333=Providing social welfare; 334=Taking good care of the weak; 400=Interpreting democracy in terms of good government; 410=Good Governance; 411=Honesty; 412=Responsible; 413=Openness or transparent government; 414=Fair treatment; 415=Efficiency; 416=No corruption; 417=Law-biding government /rule by law; 418=Social stability; 419=Law and order; 420=Reform in General; 421=Political reform; 422=Economic reform; 430=Reduce burden; 431=People's livelihood; 500=Interpreting democracy in term of individual behaviors; 510=Democratic Style; 511=Communication; 512=Compromise; 513=Rational; 514=Tolerance; 515=Taking into account all parties concerned; 516=Freedom within legal limits; 517=Respect for others' rights; 518=No extremism; 519=Mutual respect; 520=Duties; 521=Citizen duties; 522=Action within the limits of law; 523=Law-binding; 530=Individualism; 531=Respect for individual privacy; 532=Independence; 533=Self-reliance; 534=Having one's own views; 535=Self-responsibility; 536=Responsibility for one's own action/decision; 540=Trust; 541=Trust government; 542=Trust government institutions; 543=Trust people; 550=-1; 600=Interpreting democracy in other broad and abstract terms; 610=Political System; 611=Governmental institution; 612=Decentralization local self-government; 620=Nationalism and Statism; 621=Better country; 622=Wealthy state; 623=National independence; 624=Development of elite; 625=Individual less important than nation; 626=Unity of the country; 630=Stable and Cohesive Society; 631=Patriotism; 632=Solidarity; 633=Harmony; 634=No chaos, anarchy or disorder; 640=Other Lofty Elements; 641=World peace; 642=The commonwealth of the world; 643=Economic development; 644=Better life for people; 650=Ethnicity; 652=Ethnic cleavage(or tension); 700=Conditions or Prerequisites for Democracy; 710=Gradualism; 711=Incremental; 712=It takes time; 713=No radicalism; 720=Prerequisites; 721=Democratic aptitude of citizens; 722=Economic condition; 723=Level education; 724=Fit our country's own conditions; 800=Evaluation of Democracy or Democratic Regime; 810=Positive Appraisal of Democracy in General; 811=The best or the better; 812=Progressive; 813=Universal acceptance; 814=Global trend; 820=Negative Appraisal of Democracy in General; 821=Corrupt; 822=Inefficient; 823=Unstable, chaotic, anarchy; 824=Conflict; 825=Lead to injustice; 826=Obstruct economic development; 827=Place too much on individual interests, the worst system; 828=Does not exist; 829=We cannot have democracy; 840=Positive Appraisal of Own Country's Democracy?; 850=Negative Appraisal of Own Country's Democracy?; 900=Reference or Cognitive Association; 910=Country reference; 911=Like United States, United Kingdom, Japan; 912=Not like North Korea; 920=Political figures; 921=Political parties or groups; 922=Other associations state, politics, society",categorical,44,0.8,False,95,71,meaning of democracy third,1,132.0
q098,Economic Perception,"democracy, evaluation, satisfaction",Satisfaction with the way democracy works in our country?,1=Not at all satisfied; 2=Not very satisfied; 3=Fairly satisfied; 4=Very satisfied; 98=Don't know; 99=No answer,likert_4,4,0.8,False,98,4,satisfaction with the way democracy,1,132.0
q099,Economic Perception,"country evaluation, temporal comparison, authoritarian rule",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]?,1=Complete dictatorship; 10=Complete democracy; 97=NOT APPLICABLE; 98=DON'T KNOW; 99=NO ANSWER,ordinal,2,0.5,False,97,10,where would you place our,4,16.5
q100,Economic Perception,"country evaluation, temporal comparison, authoritarian rule, current evaluation",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? Where would you place our country under the present government?,1=Complete dictatorship; 10=Complete democracy; 97=Not Applicable; 98=Don't know; 99=No answer,ordinal,2,0.5,False,97,10,under authoritarian rule]? where would,1,132.0
q101,Transition to Democracy,"democratic evaluation, temporal comparison, authoritarian regime",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? To what extent would you want our country to be democratic now?,1=Complete dictatorship; 10=Complete democracy; 97=Not Applicable; 98=Don't know; 99=No answer,ordinal,2,0.5,False,97,10,under authoritarian rule]? to what,1,132.0
q102,Transition to Democracy,"democratic evaluation, temporal comparison, future expectation",Where would you place our country on this scale during the period of [name of the most recent government under authoritarian rule]? Where do you expect our country to be in five years?,1=Complete dictatorship; 10=Complete democracy; 97=Not Applicable; 98=Don't know; 99=No answer,ordinal,2,0.5,False,97,10,under authoritarian rule]? where do,1,132.0
q103,Suitability of Democracy,"democracy suitability, country suitability",Do you think democracy is suitable for our country?,1=Completely unsuitable; 10=Completely suitable; 98=Don't know; 99=No answer,ordinal,2,0.5,False,98,10,you think democracy is suitable,1,132.0
q104,Government Satisfaction,"government satisfaction, evaluation",How satisfied or dissatisfied are you with the current government?,1=Veryl dissatisfied; 2=Somewhat dissatisfied; 3=Somewhat satisfied; 4=Very satisfied; 5=Half and Half; 98=Don't know; 99=No answer,likert_5,5,0.8,True,98,5,how satisfied or dissatisfied are,1,132.0
q105,Freedom of Speech,"freedom of speech, evaluation, temporal comparison",Everyone is free to say what they think- is better than before?,1=Much worse; 2=Somewhat worse; 3=Much the same; 4=Somewhat better; 5=Much better than before; 97=Not Applicable; 98=Don't know; 99=No answer,likert_5,5,0.8,False,97,5,everyone is free to say,9,4.888888888888889
q106,Freedom and Equality,"freedom of speech, equality, evaluation, temporal comparison",Everyone is free to say what they think- is better than before? Everyone is treated equally by the government- is better than before?,1=Much worse; 2=Somewhat worse; 3=Much the same; 4=Somewhat better; 5=Much better than before; 97=Not Applicable; 98=Don't know; 99=No answer,likert_5,5,0.8,False,97,5,is better than before? everyone,1,132.0
q107,Influence and Participation,"influence on government, participation, evaluation, temporal comparison",Everyone is free to say what they think- is better than before? People like me can have an influence on government- is better than before?,1=Much worse; 2=Somewhat worse; 3=Much the same; 4=Somewhat better; 5=Much better than before; 97=Not Applicable; 98=Don't know; 99=No answer,likert_5,5,0.8,False,97,5,is better than before? people,1,132.0
