"variable_id","domain","concepts","question_text"
"se14i","Unknown","","SE14i. Bicycle"
"se14j","Unknown","","SE14j. Radio"
"se14k","Unknown","","SE14k. Pumping Set"
"se14l","Unknown","","SE14l. Fridge"
"se14m","Unknown","","SE14m. Camera"
"se14n","Unknown","","SE14n. Goats/Sheep"
"se14o","Unknown","","SE14o. Cow/Buffalo"
"se2","Unknown","","SE2. GENDER"
"se3","Unknown","","SE3. BIRTH YEAR"
"se3a","Unknown","","SE3a.ACTUAL AGE"
"se3a_1a","Unknown","","age group"
"se4","Unknown","","SE4. MARITAL STATUS"
"se5","Unknown","","SE5. EDUCATION"
"se5a","Unknown","","SE5a. How many years of formal education you have received?"
"se6","Unknown","","SE6. RELIGION"
"se7","Unknown","","SE7. RELIGIOSITY: About how often do you practice religious services or rituals these days?"
"se7a","Unknown","","SE7a. Would you describe yourself as very religious, moderately religious, lightly religious, not religious at all?"
"se8a","Unknown","","SE8a. How many people live in this household?"
"se8b","Unknown","","SE8b. How many generations of family members live in this household?"
"se8c","Unknown","","Actual count(INCLUDE servants, transients/boarders)"
"se8d","Unknown","","Actual count(EXCLUDE servants, transients/boarders)"
"se9","Unknown","","SE9. Are you currently employed?(respondent)"
"se9a","Unknown","","SE9a. Are you currently self-employed (including business owners), working in a family business, or working for an outside emp"
"se9b","Unknown","","SE9b. How many people does your business employ?"
"se9c","Unknown","","SE9c. What is your job title and job description?<The code number of ISCO>"
"se9d","Unknown","","SE9d. Are you currently seeking employment?"
"se9e","Unknown","","SE9e. What is your current status?"
