Cluster_ID,Wave_Count,Avg_Confidence,Min_Confidence,W1_Vars,W2_Vars,W3_Vars,W4_Vars,W5_Vars,W6_Vars,Question_Text,Concepts,Domains
33,5,0.9062,0.7848,q056,,q43,q44,q46,q47,How interested would you say you are interested in politics?,civic awareness; civic engagement; interest; interest in politics; participation,Political Engagement
186,4,0.9053,0.8106,,,q120,q121,q128,q120,Where would you place China today on this scale?,China; country evaluation; current assessment; democracy; regime type,Country Perception; Global Perception; International Perception; Political Regime Evaluation
148,3,0.9051,0.8287,,,q84,,"q91, q93, q90, q92, q94",q84,"Would you say our system of government works fine as it is, needs minor change, needs major change, or should be replaced?",abuse of power; change; citizen rights; corruption; evaluation,Freedom and Participation; Government Evaluation; Separation of Powers; System Evaluation; System of Government Evaluation; Trust in Government
209,2,0.9042,0.9042,,,,,q77,q74,Joined a group to actively support a cause(including online),activism; cause support; community engagement; group membership,Political Participation; Social Participation
59,5,0.9040,0.8233,,q66,q45,q49,q49,q50,How often do you use the internet?,accessibility; digital literacy; frequency; frequency of use; information access,Digital Access; Digital Accessibility; Digital Behavior; Technology Adoption; Technology Usage
46,6,0.9035,0.8171,ir002,ir2,ir2,ir2,Ir2,IR2,IR2. Is this the first questionnaire you have completed?,first time; interviewer experience; questionnaire completion; respondent history; survey experience,Survey Administration; Survey Participation; Unknown
53,3,0.9025,0.8537,,q87,q70,q75,,,Got together with others to raise an issue or sign a petition-3 categories,collective action; community involvement; issue advocacy; petition; political participation,Civic Engagement
147,5,0.9013,0.7602,ir009,,ir10a,ir10a,IR10a,IR10a,IR10a. Was the interview conducted with the assistance of an interpreter?,communication; data quality; interpreter assistance; interview facilitation; interview methodology,Interview Process; Interview Quality; Interviewer Information; Survey Methodology; Unknown
181,3,0.9007,0.8511,,,,se15k,SE15K,SE15k,Se15k Pumping set,agricultural support; agriculture; equipment; household amenities; household infrastructure,Household Assets
79,5,0.9005,0.7596,,"q32, q33",q42,q43,q45,q46,"Generally speaking, how safe is living in this city/town/village?",current evaluation; living conditions; location; perceived safety; personal security,Perceived Safety; Public Safety; Urban Safety
171,2,0.8994,0.8209,,,,"q79a, q81a, q82a, q80a","q83a, q84a, q85a, q82a",,83a Do you strongly agree or just agree with the chosen statement?,agreement intensity; agreement level; certainty; evaluation; government accountability,Accountability; Freedom of Press; General Opinion; Political Attitudes; Trust in Government
47,6,0.8982,0.7980,ir002a,ir2a,ir2a,ir2a,Ir2A,IR2a,ir2a Interviewer's gender,demographic information; demographics; gender; interviewer characteristics; interviewer gender,Interviewer Characteristics; Survey Administration; Unknown
133,4,0.8976,0.8059,,q107,q101,,q111,q102,"When the government breaks the laws, there is nothing the legal system can do",government accountability; government leader; government leaders; judicial power; judicial powerlessness,Rule of Law; Trust in Government
160,3,0.8968,0.7911,,,,"se15n_1, se15a_1, se15o_1","se15a_1, se15o_1, se15n_1","SE15a_1, SE15n_1, SE15o_1, SE15q_1",se15n_1 How many,asset accumulation; asset quantity; boat; car ownership; cattle,Agricultural Assets; Agricultural Livestock; Asset Ownership; Household Assets; None; Transportation Assets; Unknown
72,6,0.8966,0.8015,se008b,"se8a, se8b","se8a, se8b","se8b, se8a","SE8B, SE8A","SE8b, SE8a",SE8a. How many people live in this household?,demographic composition; domestic arrangement; family; family composition; family members,Household Characteristics; Household Composition; Household Demographics; Household Information
32,6,0.8966,0.7569,"q057a, q057, q023, q058, q060, q059",q52,"q46, q44","q46, q45","q48, q47","q48, q49","How often do you follow news about politics in the daily newspaper, television, and radio?",discussion; family; family and friends; frequency; frequency of discussion,Political Engagement; Political Information; Social Discussion; Social Interaction
172,3,0.8963,0.8639,,,,se15a,SE15A,SE15a,SE15a Do you or your family own the following: Car/Jeep/Van?<optional>,asset ownership; asset possession; car ownership; material possessions; transportation access,Asset Ownership; Household Assets
84,5,0.8945,0.8110,,q27,q28,q29,q28,q28,How many people do you have contact within a typical week day?,daily contacts; daily interactions; daily life; frequency; frequency of contact,Social Connections; Social Connectivity; Social Interaction
86,2,0.8938,0.7524,,"q20_2, q20_3, q20_1","q21, q22",,,,Second organization,affiliation; identification; organization membership; organizational membership; social connection,Organizational Affiliation; Social Network; Social Participation
80,4,0.8934,0.7654,q030,q41,q35,,,q36,Did you try to persuade others to vote for a certain candidate or party?,campaign support; candidate support; persuasion; political persuasion; social influence,Political Activism; Political Participation
88,5,0.8895,0.7799,,"ir9_1, ir8",ir8,"ir10, ir8","IR8, IR10","IR10, IR8",ir8 What proportion of the questions do you feel the respondent had difficulty answering?,communication; difficulty; interview challenge; interview date; interview difficulty,Interview Experience; Interview Metadata; Interview Quality; Interviewer Information; Respondent Ability; Survey Quality; Unknown
166,3,0.8886,0.7534,,,,"se13a, se13c, se13b","SE13B, SE13A, SE13C","SE13b, SE13a",se13b Where would you put your parents on this staircase?,child evaluation; current status; economic condition; family background; future prospects,Economic Perception; Socioeconomic Status
20,2,0.8882,0.8882,q061,q53,,,,,How much impact do you feel government politics have on your daily life?,daily life; government influence; government policies; perceived impact,Government Impact
142,4,0.8874,0.7820,,,q58,q63,q65,q63,"In a group, we should avoid open quarrel to preserve the harmony of the group",conflict avoidance; group dynamics; group harmony; harmony preservation; social cohesion,Social Harmony; Social Harmony and Conflict
136,4,0.8851,0.8013,,,ir12,ir12,IR12,IR12,"IR12. Were the following services present within the neighborhood (i.e., within walking or easy driving distance).Estimate the distance of these services by:",availability; community amenities; distance estimation; distance evaluation; neighborhood services,Service Accessibility
117,5,0.8845,0.8198,,q62,q53,q58,q61,q59,"When dealing with others, developing a long-term relationship is more important than securing one's immediate interest.",immediate interest; interpersonal harmony; long-term orientation; long-term relationship; pragmatism,Interpersonal Relationships; Social Interaction; Social Relationships; Social Values
44,2,0.8837,0.8837,q130,q129,,,,,"Whatever its faults may be, our form of government is still the best for us",government evaluation; national pride; optimism; system of government; system preference,System Support; Trust in Government
48,6,0.8835,0.7629,ir002b,ir2b,ir2b,ir2b,Ir2B,IR2b,IR2b. Interviewer's Age,age; demographic information; demographics; interviewer age; interviewer characteristics,Interviewer Characteristics; Survey Administration; Unknown
141,6,0.8830,0.7574,q106,q108,"q103, q104","q105, q106","q113, q112","q103, q104",Everyone is treated equally by the government,citizen rights; economic equality; equal treatment; equality; ethnic communities,Government Equality; Government Fairness; Social Equality
216,2,0.8828,0.7655,,,,,"q156_1, q157_1","q156_1, q157_1",156_1 Our country should do more to learn from other countries(q156+q156a),cultural learning; economic cooperation; global engagement; global market; international cooperation,Cultural Identity; Economic Perception; International Relations; International Trade
146,4,0.8817,0.7762,,,"q29, q30","q31, q30",q31,q31,"31. When people outside your household have problems, do they come to you for help?",external help; help; help-seeking; help-seeking behavior; personal network,Social Support
112,4,0.8817,0.7544,,,"q160, q161","q171, q169, q168, q170","q183, q182, q176, q184, q181","q182, q184, q175, q183, q177",How much influence does the United States have on our country?,China; USA; United States; country evaluation; country influence,Geopolitical Influence; Global Influence; International Influence; International Relations
93,5,0.8816,0.7777,,q24,q25,q26,q24,q24,How much trust do you have in your relatives?,familial relationships; familial trust; familiarity; family ties; relatives,Trust in Others; Trust in People
191,3,0.8810,0.8364,,,,ir11d,IR11d,IR11d,ir11d Is this neighborhood covered by mobil phone network?,mobile network; mobile phone coverage; mobile phone network; neighborhood amenities; neighborhood coverage,Service Accessibility
8,6,0.8797,0.7564,"q115, q114","q118, q117, q120","q116, q118, q117","q119, q118, q117","q126, q125, q124","q116, q117, q115",How widespread do you think corruption and bribe-taking are in the national government?,accountability; anti-corruption efforts; bribe-taking; bribery; bribery prevention,Anti-Corruption Efforts; Corruption Perception; Trust in Government
55,3,0.8795,0.7856,,q89,q72,"q77, q77a",,,Used force or violence for a political cause,activism; force; political activism; political cause; political extremism,Civic Engagement
92,6,0.8777,0.7618,q024,q23,q23,"q23, q24","q22, q23","q21_other, q23","Would you say that ""Most people can be trusted"" or ""that you must be very careful in dealing with people""?",activity; caution; generalization; generalized others; generalized trust,Organizational Participation; Trust in Others; Trust in People
64,3,0.8764,0.8192,,q105,q99,q102,,,Political parties or candidates in our country have equal access to the mass media during the election period.,election period; equal access; mass media; media access; political equality,Electoral Fairness; Media Accessibility
36,2,0.8754,0.8754,se007,se7,,,,,relgiosity,faithfulness; personal belief; religiosity; spiritual devotion; spirituality,Religiosity
107,4,0.8750,0.7502,,,"se10a, se10d, se9a, se9d, se9","se9a, se9d, se10d, se9, se10a","SE9D, SE10A, SE9, SE9A, SE10D","SE10a, SE9, SE10d, SE9d, SE9a","SE10a. Is he or she currently self-employed (including business owners), working in a family business, or working for an outsid",business involvement; business ownership; current occupation; current status; current work,Employment Status; Employment Type; Job Search
175,3,0.8744,0.8208,,,,se15d,SE15D,SE15d,Se15d Cable Televsion,asset ownership; cable television; cable television subscription; cable tv subscription; entertainment services,Asset Ownership; Household Assets
190,3,0.8727,0.8055,,,,q172,q186,q185Other,"185. Other specify responses 

Variable: q186 
  Question: How close do you feel to ASEAN? (ASEAN countries only)",ASEAN; cultural closeness; evaluation; identity; national belonging,Regional Identity; Social Attitudes
23,4,0.8715,0.7649,"ir007_3, ir007_1",,,"year, month",Year,YEAR,"Interview year 

Variable: Month 
  Question: Interview month",interview date; interview timing; interview year; month; month of interview,Interview Metadata; Temporal Reference
69,6,0.8704,0.7569,"q118, q120","q122, q132, q121","q125, q124","q80, q79, q82, q125, q126, q81, q154","q133, q132","q124, q125",80. which of the following statements do you agree with most?,agreement; attitude; attitude expression; comparison; democratic values,General Opinion; Governance and Democracy; Opinion and Attitudes; Opinion and Beliefs; Political Attitudes; Political Ideology; Political Opinion; Political Preference; Unknown
199,2,0.8704,0.8694,,,,,"q74, q75",q72,Signed a paper petition,civic engagement; digital engagement; offline engagement; online activity; online petition,Citizen Engagement; Political Participation
2,6,0.8688,0.7743,"q027, q031, q029","q42, q40, q38","q34, q36","q37, q33, q35","q37, q33, q35","q35, q33, q37",Did you attend a campaign meeting or rally in the last national election?,attendance; campaign activity; campaign assistance; campaign engagement; campaign meeting,Campaign Engagement; Campaign Support; Electoral Participation; Political Participation; Voting Behavior
14,5,0.8688,0.7691,q069,q60,,q55,q58,q56,"For the sake of the family, the individual should put his personal interests second",collectivism; family; family interests; family loyalty; family prioritization,Family Priorities; Family Values; Social Values; Value Prioritization
131,2,0.8665,0.8665,,,se7,,,SE6other,"SE6. Other specify responses 

Variable: SE7 
  Question: SE7 RELIGIOSITY: About how often do you practice religious services or rituals these days?",faith; frequency of attendance; other; religiosity; religious affiliation,Religion
170,4,0.8647,0.7937,,,q115,q116,q122,q113,How much do you feel that having elections makes the government pay attention to what the people think?,accountability; elections; electoral accountability; electoral influence; government accountability,Election Impact; Election Integrity; Trust in Government
188,3,0.8595,0.7526,,,,"se9c_4, se10c_4","Se9c_4, Se10c_4","Se9c_4, Se10c_4",se9c_4 Extended application. White vs. blue collar,blue collar; job classification; job type; occupational category; occupational classification,Occupational Classification; Unknown
140,4,0.8590,0.8037,,,q48,q54,q57,q54other,54. How close do you feel to (answer in q53)?,affinity; closeness; evaluation; party affiliation; party identification,Party Affiliation; Political Affiliation; Social Connection
9,5,0.8551,0.7560,"se004, se004a",se4,se4,se4,SE4,,SE4. MARITAL STATUS, partnership status; binary classification; family structure; marital status; partnership,Demographic Characteristics; Demographic Information; Demographics
213,4,0.8549,0.7972,,,q33a,q34a,q34a,q34other,"34. Other specify responses 

Variable: q34a 
  Question: 34a Did the respondent vote for the winning or losing camp?",candidate support; election result; losing party; other specification; party affiliation,Political Preference; Voting Behavior
10,6,0.8543,0.7513,"q005, q006, q004, q002, q001, q003","q8, q17, q2, q14, q5, q16, q3, q10, q7, q4, q18, q9, q1, q15, q6, q13, q12, q11, q19","q1, q6, q5, q2, q3, q4","q16, q19, q6, q17, q5, q8, q15, q11, q18, q12, q2, q13, q21, q9, q7, q4, q3, fg, q20, q22, q1, q14, q10","q7, q17, q6, q2, q20, q10, q19, q9, q8, q4, q14, q12, q13, q15, q18, q3, q16, q5, q1, q11","q5, q7, q14, q2, q3, q4, q6, q9, q18, q12, q11, q8, q15, q10, q17, q1, q16, q13",What do you think the economic situation of your family will be a few years from now? Trust in the Courts,change evaluation; current assessment; current evaluation; economic condition; economic evaluation,Economic Expectation; Economic Perception
205,2,0.8531,0.8242,,,,,"q127a_3, q127a_1, q127a_2","q119c, q119b, q119a",127a_3  Did you personally witness it or were you told about it by a family member or friend who personally witnessed? told about it by a friend who personally witnessed,corruption; direct experience; family member; friend; indirect experience,Corruption Perception; Information Source
202,3,0.8511,0.7767,,,,q155,q159,q159,How fair do you think income distribution is in the country?,fairness evaluation; income distribution; national economy; national level; social justice,Economic Inequality; Economic Perception
89,5,0.8508,0.7521,,"q102a, q103",q97,"q101, q100","q107, q108","q99, q97bother",How likely is it that the government will solve the most important problem you identified within the next five years?,accountability; elections; evaluation; future expectation; government accountability,Governance and Democracy; Government Performance; Service Accessibility; Trust in Government
240,2,0.8497,0.8497,,,,,q160c,q160c,160c It is the responsibility of the government to make sure that everyone has access to basic medical care,government role; health services; healthcare access; medical care; social welfare,Government Responsibility; Healthcare Accessibility
49,6,0.8483,0.7501,ir004,"ir4, ir3","ir3, ir4, ir3a_1HK","ir3, ir4","IR4, IR3, IR3a_1, IR3a_3","IR3a_3, IR3a_6_other, IR2c_other, IR3a_1, IR3a_4, IR3a_2, IR3a_5, IR3a_6_other_clarify",ir4 Has the respondent ever refused to be interviewed during the whole process?,authorities; cooperation; family member; family members; family relationship,Interview Environment; Interview Experience; Interview Participation; Interview Process; Language and Culture; Respondent Behavior; Survey Administration; Unknown
21,6,0.8476,0.7502,"q098, q103, q104","q98, q99, q94, q93, q92","q89, q95, q86, q85, q88, q87, q90","q97, q98, q92, q88, q89, q91, q90, q93","q105, q99, q98, q100, q104","q95, q85, q88, q96, q87, q86, q90, q91",Whether you think democracy is suitable for our country,country context; country evaluation; country-level assessment; country-level evaluation; current assessment,Democracy Characteristics; Democracy Evaluation; Democratic Values; Essential Elements of Democracy; Governance and Democracy; Government Evaluation; Government Satisfaction; Perception of Democracy; Political Perception; Satisfaction with Democracy; Satisfaction with Government; Suitability of Democracy; Trust in Government
217,3,0.8461,0.7691,,,,q73,q73,q71,Contacted news media,contact; contact with news media; information dissemination; media level; news media,Citizen Engagement; Media Interaction; Political Participation
35,6,0.8459,0.7523,"q099, q102, q100","q95, q96","q91, q93, q92","q95, q94, q96","q102, q101, q103","q93, q94, q92",Where would you place our country ten years ago?,authoritarian regime; authoritarian rule; country evaluation; country progress; country-level assessment,Country Evaluation; Democratic Governance; Future Expectations; National Outlook; National Progress; Political Evaluation; Regime Evaluation; Trust in Government
235,2,0.8457,0.8457,,ir9_2,ir9,,,,"Date of Interview____(month)____(date)_2010_(year) 

Variable: ir10 
  Question: IR10. Language in which interview was conducted",administration detail; day; interview date; record-keeping; temporal information,Interview Administration; Interview Metadata
177,3,0.8446,0.7518,,,,"se15g, se15f","SE15F, SE15G","SE15f, SE15g",se15g Mobile phone,access; access to services; communication; communication access; household amenities,Household Assets
238,2,0.8439,0.8439,,,,,q160a,q160a,160a Narrow the gap between the rich and the poor,government role; income distribution; income inequality; policy preference; social equality,Economic Inequality; Government Responsibility
110,4,0.8407,0.7507,,,"q157b, q157a","q164, q165","q177, q175","q176, q173other",Does China do more good or harm to the Asia?,Asia; China; United States; alternative perspective; country comparison,Geopolitical Evaluation; Geopolitical Influence; Geopolitical Perception; International Relations
198,4,0.8324,0.7605,,q85,,q72,q72,q70,Contacted other influential people outside the government-3 categories.,community leaders; contact; contact with traditional leaders; elite engagement; influential people,Citizen Engagement; Political Participation; Social Influence; Social Interaction
229,2,0.8282,0.8282,q145,q77,,,,,The most important thing for a political leader is to accomplish his goals even if he has to ignore the established proc,goal accomplishment; goal achievement; leadership style; means-ends justification; political leadership,Leadership and Decision-Making; Political Leadership
60,5,0.8253,0.7506,,"se10c, se10i, se10k, se10m, se10b, se10f, se10e, se10j, se10n, se10o, se9, se10a, se10l, se10g, se9a, se10d","se13a, ir1, se14j, se14a, se14n, se14f, se13, se14e, se14o, se14c, se14k, se14i, se14g, se14d, se14m, se14b, se14l","se14a, se14","SE14, SE14A","SE14, SE14a",SE13a. Does the total income of your household allow you to satisfactorily cover your needs?,agricultural equipment; asset ownership; basic needs; bicycle ownership; camera ownership,Economic Condition; Economic Perception; Economic Wellbeing; Household Income
43,6,0.8178,0.7555,ir010e,"ir13g, ir13a, ir13f, ir12d, ir13i, ir13d, irII13c, ir13e, ir13b",ir11d,ir11e,IR11E,IR11e,"ir11e In terms of walking distance, how far is it between the nearest public transportation stop (bus, train, ferry, tram, etc.) and the respondent's house?",community facilities; distance; education access; health service; police station proximity,Education Accessibility; Infrastructure Accessibility; Service Accessibility; Transportation Accessibility
189,2,0.8176,0.7753,,,,"q52, q51",,"q52b, q52d",52. How often do you use the Internet or social media networks to express your opinion about politics and government?,frequency; government; influence; information seeking; internet,Political Engagement
228,2,0.8175,0.8175,q143,q76,,,,,"For the sake of the national community/society, the individual should be prepared to sacrifice his personal interest",collective interest; individual sacrifice; national community; social duty; social responsibility,Individual Sacrifice for the Collective; National Loyalty
3,6,0.8143,0.7541,"q083, q075",q81,"q65, q66, q68, q67, q64","q69, q69a",q70,"q68, q69","In the past three (3) years, have you never, once, or more than once done the following because of personal, family, or neighborhood problems, or problems with government officials and policies?Contac",citizen participation; civic engagement; civil servants; collective action; community involvement,Citizen Engagement; Civic Engagement; Government Interaction; Political Participation; Political Participation and Engagement
164,3,0.8134,0.7518,,,,q50,"q51c, q51d, q51a, q51b, q50","q51a_Facebook, q52c",Do you currently use any of the following social media networks?(E.g. 51c You use social media primarily to share news or information,Facebook; communication purpose; expression of opinion; information dissemination; information sharing,Digital Behavior; Information Sharing; Social Media Usage; Social Media Use; Technology and Media
123,5,0.8126,0.7503,,"q102, q101, q100",q96,"q99a, q99, q99b","q106a, Q106d, q106, q106b, Q106e, Q106c","q97aother, q97other, q97",106a What are the most important problems facing this country that government should address(2nd response)?,evaluation; government priorities; government responsibility; importance; important problems,National Issues; National Problems; Political Priorities; Service Accessibility; Social Attitudes; Unknown
104,5,0.8105,0.7502,,"q51_4, q48, q49, q43, q51_7",q37,q38,q38,q38,"On the whole, how free and fair would you say the last national election was?",democratic evaluation; democratic process; election evaluation; election fairness; election integrity,Election Integrity; Election Perception; Electoral Integrity; Media Consumption; Political Engagement; Political Perception; Trust in Government
226,3,0.8060,0.7863,q097_1,q91_1,,,,q89,"To you, what does “democracy” mean? (open-ended) <optional>",democracy; meaning; open-ended response; personal interpretation; political concept,Concept of Democracy; Democracy Perception; Political Perception
239,2,0.8060,0.8060,,,,,q160b,q160b,160b Make sure that everyone has affordable housing,affordable housing; basic needs; government role; social welfare,Government Responsibility; Housing Accessibility
242,2,0.8025,0.8025,,,,,q173,q171,"As long as the government can maintain order and stability in the country, it does not matter whether it is democratic or undemocratic",democratic importance; economic problem; government type; order maintenance; priority,Government Evaluation; Political System Evaluation
5,3,0.8018,0.7577,"q077, q085","q79, q83",,,q71,,Contacted government (administrative) official,administrative interaction; bureaucratic level; citizen engagement; civil society engagement; civil society interaction,Citizen Engagement; Civic Engagement; Civil Society Interaction; Government Interaction; Political Participation
241,2,0.7995,0.7995,,,,,q160d,q160d,160d It is the responsibility of the government to make sure that basic necessitities such as food and shelters are provided for everyone,basic necessities; food security; government role; shelter provision; social safety net,Government Responsibility; Poverty and Basic Needs
225,3,0.7978,0.7754,q082,q80,,q70,,,Contacted officials at higher level,collective action; government contact; government interaction; group participation; hierarchical level,Civic Engagement; Government Interaction
232,2,0.7961,0.7961,q015,,,,q54,,How much trust do you have in each of the following types of media?Newspaper,media credibility; media trust; newspaper; newspapers; trust,Media Trust; Trust in Media
227,2,0.7901,0.7901,se003a,se3a,,,,,actual age,age; individual characteristic; life stage; numerical value; personal characteristic,Demographic Characteristics; Demographics
233,2,0.7884,0.7884,q016,,,,q53,,How much trust do you have in television?,media credibility; media trust; television; trust,Media Trust; Trust in Media
236,2,0.7841,0.7841,,,q40,q41,,,"Based on your experience, how easy or difficult is it to obtain the following services? Medical treatment at a nearby clinic",clinic services; health service; healthcare access; medical treatment; proximity,Service Accessibility
230,2,0.7837,0.7719,"q018, q018_3, q018_2, q018_4, q018_5",,q19,,,,How much trust do you have in non-governmental organizations?,civil society; foreign enterprises; institutional credibility; national identity; non-governmental organizations,National Pride; Trust in Institutions; Trust in Non-Governmental Organizations
237,2,0.7733,0.7733,,,q41,,,q43,How easy or difficult to obtain help from the police when you need it,accessibility; law enforcement; police assistance; public service; safety,Service Accessibility
234,2,0.7711,0.7711,idnumber,idnumber,,,,,"Interview Numbers 

Variable: level3 
  Question: Urban-rural",,Unknown
231,2,0.7709,0.7709,q010,,q11,,,,How much trust do you have in Parliament?,confidence in institutions; institutional confidence; institutional trust; parliament; trust,Trust in Government
